"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","SPRHOST (%)"
"28046","Dove","Izaak Walton","83","1969","","Yes","Yes","No","16"
"28047","Oldcotes Dyke","Blyth","85","1970","","Yes","Yes","No","19"
"28048","Amber","Wingfield Park","139","1970","","Yes","Yes","No","30"
"28049","Ryton","Worksop","77","1970","","Yes","Yes","Yes","16"
"28050","Torne","Auckley","136","1970","","No","Yes","No","18"
"28052","Sow","Great Bridgeford","163","1971","","Yes","Yes","Yes","31"
"28053","Penk","Penkridge","272","1971","","Yes","Yes","No","37"
"28055","Ecclesbourne","Duffield","50","1971","","Yes","Yes","No","30"
"28056","Rothley Brook","Rothley","94","1973","","Yes","Yes","No","43"
"28058","Henmore Brook","Ashbourne","42","1974","","Yes","Yes","No","31"
"28059","Maun","Mansfield STW","29","1965","1984","Yes","Yes","No","15"
"28060","Dover Beck","Lowdham","69","1971","","Yes","Yes","No","25"
"28061","Churnet","Basford Bridge","139","1975","","Yes","Yes","No","35"
"28066","Cole","Coleshill","130","1973","","Yes","Yes","No","40"
"28067","Derwent","Church Wilne","1178","1973","","Yes","Yes","No","27"
"28068","Lathkill","Pickering Wood","90","1964","","No","Yes","No","6.8"
"28070","Burbage Brook","Burbage","9","1965","1982","Yes","Yes","No","40"
"28072","Greet","Southwell","46","1974","","No","Yes","No","32"
"28074","Soar","Kegworth","1292","1978","","No","Yes","Yes","42"
"28079","Meece Brook","Shallowford","86","1981","","No","Yes","No","31"
"28080","Tame","Lea Marston Lakes","799","1957","","Yes","Yes","No","36"
"28081","Tame","Bescot","169","1982","","Yes","Yes","No","38"
"28082","Soar","Littlethorpe","184","1971","","Yes","Yes","No","40"
"28083","Trent","Darlaston","195","1982","","Yes","Yes","No","34"
"28085","Derwent","St Mary's Bridge","1054","1936","","Yes","Yes","Yes","26"
"28086","Sence","South Wigston","113","1983","","Yes","Yes","No","43"
"28087","Tame","Perry Park","196","1983","1993","No","Yes","No","38"
"28091","Ryton","Blyth","231","1985","","Yes","Yes","Yes","18"
"28093","Soar","Pillings Lock","1108","1985","","No","Yes","No","42"
"28095","Tame","Hopwas Bridge","1422","1986","","Yes","Yes","No","36"
"28102","Blythe","Whitacre","194","1986","1998","No","Yes","No","39"
"28103","Henmore Brook","Carsington Outflow","16","1988","","No","Yes","No","25"
"28109","Sow","Walkmill","11","1979","2016","No","Yes","No","20"
"28110","Oldacre Brook","Brocton","3","1985","2013","No","Yes","No","15"
"28112","Churnet","Quixhill","213","1998","","No","Yes","No","34"
"28113","Erewash","Pinxton","27","2000","","No","Yes","No","27"
"28115","Maun","Mansfield the Dykes","32","1992","","Yes","Yes","No","15"
"28116","Maun","Whitewater Bridge","157","1992","","No","Yes","No","18"
"28117","Derwent","Whatstandwell","755","1992","","No","Yes","No","25"
"28118","Meden","Perlethorpe","97","1994","","No","Yes","No","14"
"29001","Waithe Beck","Brigsley","108","1960","","Yes","Yes","Yes","11"
"29002","Great Eau","Claythorpe Mill","77","1962","","Yes","Yes","Yes","22"
"29003","Lud","Louth","55","1968","","Yes","Yes","Yes","14"
"29004","Ancholme","Bishopbridge","55","1968","","Yes","Yes","Yes","29"
"29005","Rase","Bishopbridge","67","1967","","No","Yes","Yes","38"
"29009","Ancholme","Toft Newton","27","1974","","Yes","Yes","Yes","26"
"30001","Witham","Claypole Mill","298","1959","","Yes","Yes","Yes","28"
"30002","Barlings Eau","Langworth Bridge","210","1960","","No","Yes","Yes","30"
"30003","Bain","Fulsby Lock","197","1962","","Yes","Yes","Yes","22"
"30004","Lymn","Partney Mill","62","1962","","Yes","Yes","Yes","32"
"30005","Witham","Saltersford Total","126","1973","","Yes","Yes","Yes","17"
"30006","Slea","Leasingham Mill","48","1974","","Yes","Yes","Yes","19"
"30011","Bain","Goulceby Bridge","63","1971","","Yes","Yes","Yes","16"
"30012","Stainfield Beck","Cream Poke Farm","37","1970","","No","Yes","Yes","34"
"30013","Heighington Beck","Heighington","21","1976","","Yes","Yes","Yes","5.7"
"30014","Pointon Lode","Pointon","12","1972","","Yes","Yes","Yes","42"
"30015","Cringle Brook","Stoke Rochford","51","1976","","Yes","Yes","Yes","12"
"30017","Witham","Colsterworth","51","1978","","Yes","Yes","Yes","23"
"30018","Honington Beck","Honington","22","1983","","No","Yes","No","30"
"30033","Brant","Brant Broughton","66","1990","","No","Yes","No","45"
"31001","Eye Brook","Eye Brook Reservoir","60","1939","1999","No","Yes","No","48"
"31002","Glen","Kates Br & King St Br","342","1960","","Yes","Yes","No","27"
"31004","Welland","Tallington Total","717","1967","","Yes","Yes","Yes","38"
"31005","Welland","Tixover","417","1963","","Yes","No","No","45"
"31006","Gwash","Belmesthorpe","150","1967","","Yes","Yes","Yes","24"
"31007","Welland","Barrowden","412","1968","","No","Yes","No","45"
"31008","East Glen","Manthorpe","136","1970","","No","Yes","Yes","27"
"31009","West Glen","Shillingthorpe","173","1968","","No","Yes","Yes","27"
"31010","Chater","Fosters Bridge","69","1968","","Yes","Yes","Yes","33"
"31011","West Glen","Burton Coggles","32","1969","","No","Yes","Yes","33"
"31013","East Glen","Irnham","72","1969","","No","Yes","Yes","23"
"31016","North Brook","Empingham","37","1969","","No","Yes","Yes","16"
"31021","Welland","Ashley","251","1970","","No","Yes","Yes","48"
"31022","Jordan","Market Harborough","21","1970","","No","Yes","Yes","50"
"31023","West Glen","Easton Wood","4","1972","","Yes","Yes","No","41"
"31024","Holywell Brook","Holywell","22","1972","","No","Yes","Yes","24"
"31025","Gwash South Arm","Manton","25","1978","","Yes","Yes","Yes","45"
"31026","Egleton Brook","Egleton","3","1979","2014","Yes","Yes","No","33"
"31028","Gwash","Church Bridge","77","1982","","No","Yes","No","36"
"32001","Nene","Orton","1634","1939","1996","No","Yes","No","36"
"32002","Willow Brook","Fotheringhay","90","1938","","Yes","Yes","Yes","43"
"32003","Harpers Brook","Old Mill Bridge","74","1938","","Yes","Yes","Yes","41"
"32004","Ise Brook","Harrowden","194","1943","","Yes","Yes","Yes","35"
"32006","Nene/Kislingbury","Upton Total","223","1939","","No","Yes","Yes","43"
"32007","Nene/Brampton","St Andrews Total","233","1939","","Yes","Yes","No","35"
"32008","Nene/Kislingbury","Dodford","107","1945","","Yes","Yes","Yes","43"
"32010","Nene","Wansford","1530","1939","","Yes","Yes","Yes","37"
"32012","Wootton Brook","Lady Bridge","53","1968","2000","No","Yes","No","40"
"32016","Willow Brook South","Corby South","8","1969","","No","Yes","Yes","42"
"32019","Slade Brook","Kettering","58","1970","","No","Yes","Yes","32"
"32020","Wittering Brook","Wansford","47","1970","1985","No","Yes","No","9.7"
"32029","Flore","Experimental Catchment","7","1973","1979","Yes","Yes","No","43"
"32031","Wootton Brook","Wootton Park","74","1982","","No","Yes","Yes","38"
"33001","Bedford Ouse","Brownshill Staunch","3030","1936","1962","No","Yes","No","41"
"33002","Bedford Ouse","Bedford","1460","1933","2015","No","Yes","No","40"
"33003","Cam","Bottisham","803","1936","1987","No","Yes","No","28"
"33004","Lark","Isleham","466","1936","1986","No","Yes","No","18"
"33005","Bedford Ouse","Thornborough Mill","389","1951","1991","Yes","Yes","No","37"
"33006","Wissey","Northwold Total","275","1956","","No","Yes","No","20"
"33007","Nar","Marham","153","1953","","Yes","Yes","Yes","17"
"33009","Bedford Ouse","Harrold Mill","1320","1955","1996","Yes","Yes","No","40"
"33011","Little Ouse","County Bridge Euston","129","1960","","Yes","Yes","Yes","26"
"33012","Kym","Meagre Farm","138","1960","","Yes","Yes","Yes","49"
"33013","Sapiston","Rectory Bridge","206","1949","","Yes","Yes","Yes","28"
"33014","Lark","Temple","272","1960","","Yes","Yes","Yes","18"
"33015","Ouzel","Willen","277","1962","","Yes","Yes","Yes","42"
"33016","Cam","Jesus Lock","762","1959","1983","No","Yes","No","28"
"33017","Bedford Ouse","St Ives","2860","1961","1965","Yes","No","No","40"
"33018","Tove","Cappenham Bridge","138","1962","","Yes","Yes","Yes","41"
"33019","Thet","Melford Bridge","316","1962","","Yes","Yes","Yes","24"
"33020","Alconbury Brook","Brampton","202","1963","","No","Yes","No","52"
"33021","Rhee","Burnt Mill","303","1962","","Yes","Yes","Yes","24"
"33022","Ivel","Blunham","541","1965","","Yes","Yes","Yes","30"
"33023","Lea Brook","Beck Bridge","102","1962","","Yes","Yes","Yes","19"
"33024","Cam","Dernford","198","1949","","Yes","Yes","Yes","26"
"33025","Babingly","West Newton Mill","40","1963","1976","No","Yes","No","9"
"33026","Bedford Ouse","Offord","2570","1970","","No","Yes","No","39"
"33027","Rhee","Wimpole","119","1965","","Yes","Yes","Yes","32"
"33028","Flit","Shefford","120","1966","","Yes","Yes","Yes","37"
"33029","Stringside","Whitebridge","99","1965","","Yes","Yes","Yes","12"
"33030","Clipstone Brook","Clipstone","39","1957","","Yes","Yes","Yes","48"
"33031","Broughton Brook","Broughton","67","1971","","Yes","Yes","Yes","41"
"33032","Heacham","Heacham","59","1965","","Yes","Yes","Yes","6"
"33033","Hiz","Arlesey","108","1973","","Yes","Yes","Yes","20"
"33034","Little Ouse","Abbey Heath","689","1968","","Yes","Yes","Yes","24"
"33035","Ely Ouse","Denver Complex","3430","1958","","No","Yes","Yes","22"
"33037","Bedford Ouse","Newport Pagnell Total","800","1969","","Yes","Yes","Yes","40"
"33039","Bedford Ouse","Roxton","1660","1972","","Yes","Yes","Yes","41"
"33040","Rhee","Ashwell","2","1971","","No","Yes","Yes",""
"33044","Thet","Bridgham","278","1973","","Yes","Yes","Yes","26"
"33045","Wittle","Quidenham","28","1973","","Yes","Yes","Yes","33"
"33046","Thet","Redbridge","145","1973","","Yes","Yes","No","32"
"33048","Larling Brook","Stonebridge","21","1973","2000","Yes","No","No","9.6"
"33049","Stanford Water","Buckenham Tofts","44","1973","1977","Yes","Yes","No","16"
"33050","Snail","Fordham","61","1974","","Yes","Yes","Yes","21"
"33051","Cam","Chesterford","141","1964","","Yes","Yes","Yes","31"
"33052","Swaffham Lode","Swaffham Bulbeck","36","1963","","Yes","Yes","Yes","14"
"33053","Granta","Stapleford","114","1949","","No","Yes","Yes","25"
"33054","Babingley","Castle Rising","48","1976","","Yes","Yes","Yes","9.7"
"33055","Granta","Babraham","99","1976","","Yes","Yes","Yes","27"
"33056","Quy Water","Lode","76","1975","","No","Yes","Yes","11"
"33057","Ouzel","Leighton Buzzard","119","1976","","Yes","Yes","No","38"
"33058","Ouzel","Bletchley","215","1978","","Yes","Yes","Yes","40"
"33061","Shep","Fowlmere One","3","1978","","No","Yes","No","18"
"33062","Guilden Brook","Fowlmere Two","3","1978","","No","Yes","Yes",""
"33063","Little Ouse","Knettishall","101","1980","","No","Yes","Yes","29"
"33064","Whaddon Brook","Whaddon","16","1980","","No","Yes","Yes","7"
"33065","Hiz","Hitchin","12","1980","","No","Yes","Yes","5.1"
"33066","Granta","Linton","60","1981","","No","Yes","Yes","36"
"33068","Cheney Water","Gatley End","5","1982","","No","Yes","No",""
"33070","Lark","Fornham St Martin","110","1985","","No","Yes","Yes","26"
"34001","Yare","Colney","232","1959","","Yes","Yes","Yes","35"
"34002","Tas","Shotesham","147","1957","","No","Yes","No","37"
"34003","Bure","Ingworth","165","1959","","Yes","Yes","Yes","21"
"34004","Wensum","Costessey Mill","571","1960","","No","Yes","Yes","26"
"34005","Tud","Costessey Park","73","1961","","Yes","Yes","Yes","33"
"34006","Waveney","Needham Mill","370","1963","","Yes","Yes","No","37"
"34007","Dove","Oakley Park","134","1966","","Yes","Yes","Yes","37"
"34008","Ant","Honing Lock","49","1966","","Yes","Yes","Yes","19"
"34010","Waveney","Billingford Bridge","149","1968","","No","Yes","Yes","35"
"34011","Wensum","Fakenham","162","1966","","No","Yes","No","14"
"34012","Burn","Burnham Overy","80","1966","","Yes","Yes","Yes","6.3"
"34014","Wensum","Swanton Morley Total","398","1969","","No","Yes","Yes","25"
"34018","Stiffkey","Warham","88","1972","","No","Yes","Yes","17"
"34019","Bure","Horstead Mill","313","1974","","No","Yes","Yes","20"
"35001","Gipping","Constantine Weir","311","1961","1996","No","Yes","No","38"
"35002","Deben","Naunton Hall","163","1964","","No","Yes","Yes","39"
"35003","Alde","Farnham","64","1961","","Yes","Yes","Yes","42"
"35004","Ore","Beversham","55","1965","","Yes","Yes","Yes","38"
"35008","Gipping","Stowmarket","129","1966","","Yes","Yes","Yes","43"
"35010","Gipping","Bramford","298","1969","","Yes","Yes","No","39"
"35011","Belstead Brook","Belstead","40","1968","2019","Yes","No","No","36"
"35013","Blyth","Holton","93","1970","","No","Yes","No","41"
"35014","Mill River","Newbourne","27","1948","1969","No","Yes","No","15"
"36001","Stour","Stratford St Mary","844","1928","1992","No","Yes","No","38"
"36002","Glem","Glemsford","87","1960","","Yes","Yes","No","44"
"36003","Box","Polstead","54","1960","","Yes","Yes","Yes","38"
"36004","Chad Brook","Long Melford","47","1965","","Yes","Yes","No","41"
"36005","Brett","Hadleigh","156","1962","","Yes","Yes","Yes","44"
"36006","Stour","Langham","578","1962","","Yes","Yes","Yes","38"
"36007","Belchamp Brook","Bardfield Bridge","59","1964","","Yes","Yes","No","36"
"36008","Stour","Westmill","225","1960","","Yes","Yes","No","43"
"36009","Brett","Cockfield","26","1968","","Yes","Yes","No","47"
"36010","Bumpstead Brook","Broad Green","28","1968","","Yes","Yes","No","45"
"36011","Stour Brook","Sturmer","35","1968","","Yes","Yes","No","45"
"36012","Stour","Kedington","76","1968","","Yes","Yes","No","44"
"36013","Brett","Higham","195","1970","","No","Yes","No","40"
"36015","Stour","Lamarsh","481","1972","","Yes","Yes","Yes","39"
"37001","Roding","Redbridge","303","1950","","Yes","Yes","Yes","47"
"37002","Chelmer","Rushes Lock","534","1932","2010","No","Yes","No","43"
"37003","Ter","Crabbs Bridge","78","1932","","Yes","Yes","Yes","42"
"37004","Blackwater","Langford","337","1932","1968","No","Yes","No","39"
"37005","Colne","Lexden","238","1959","","Yes","Yes","Yes","38"
"37006","Can","Beach's Mill","228","1962","","Yes","Yes","Yes","47"
"37007","Wid","Writtle","136","1964","","Yes","Yes","No","48"
"37008","Chelmer","Springfield","190","1965","","Yes","Yes","Yes","39"
"37009","Brain","Guithavon Valley","61","1962","","Yes","Yes","Yes","36"
"37010","Blackwater","Appleford Bridge","247","1962","","Yes","Yes","Yes","40"
"37011","Chelmer","Churchend","73","1963","","Yes","Yes","No","41"
"37012","Colne","Poolstreet","65","1963","","Yes","Yes","No","44"
"37013","Sandon Brook","Sandon Bridge","75","1963","","Yes","Yes","No","47"
"37014","Roding","High Ongar","95","1963","","Yes","Yes","Yes","46"
"37015","Cripsey Brook","Chipping Ongar","62","1979","","No","Yes","Yes","47"
"37016","Pant","Copford Hall","63","1965","","Yes","Yes","Yes","44"
"37017","Blackwater","Stisted","139","1969","","Yes","Yes","No","39"
"37018","Ingrebourne","Gaynes Park","48","1970","","Yes","Yes","Yes","45"
"37019","Beam","Bretons Farm","50","1965","","Yes","Yes","Yes","41"
"37020","Chelmer","Felsted","132","1970","","Yes","Yes","No","40"
"37021","Roman River","Bounstead Bridge","53","1965","1991","No","Yes","Yes","41"
"37022","Holland Brook","Thorpe le Soken","55","1970","2012","No","Yes","Yes","40"
"37023","Roding","Loughton","269","1971","","No","Yes","Yes","47"
"37024","Colne","Earls Colne","154","1971","","No","Yes","Yes","39"
"37025","Bourne Brook","Perces Bridge","32","1965","1973","No","Yes","No","39"
"37026","Tenpenny Brook","Tenpenny Bridge","29","1960","1976","No","Yes","No","35"
"37027","Sixpenny Brook","Ship House Bridge","5","1960","1976","No","Yes","No","35"
"37028","Bentley Brook","Saltwater Bridge","12","1960","1976","No","Yes","No","36"
"37029","St Osyth Brook","Main Road Bridge","8","1960","1976","No","Yes","No","43"
"37031","Crouch","Wickford","72","1962","","Yes","Yes","Yes","49"
"37033","Eastwood Brook","Eastwood","10","1975","","Yes","Yes","No","45"
"37034","Mar Dyke","Stifford","91","1974","","No","Yes","Yes","44"
"37038","Wid","Margaretting","99","1951","1974","No","Yes","No","48"
"38001","Lee","Feildes Weir","1036","1879","","Yes","Yes","Yes","34"
"38002","Ash","Mardock","79","1939","","Yes","Yes","Yes","36"
"38003","Mimram","Panshanger Park","134","1952","","Yes","Yes","Yes","27"
"38004","Rib","Wadesmill","137","1959","","Yes","Yes","Yes","38"
"38005","Ash","Easneye","85","1960","1981","No","Yes","No","36"
"38006","Rib","Herts Training School","148","1956","1982","No","Yes","No","38"
"38007","Canons Brook","Elizabeth Way","21","1965","","Yes","Yes","Yes","46"
"38011","Mimram","Fulling Mill","99","1955","","Yes","Yes","Yes","26"
"38012","Stevenage Brook","Bragbury Park","36","1956","","No","Yes","Yes","31"
"38013","Upper Lee","Luton Hoo","71","1960","2013","No","Yes","No","14"
"38014","Salmon Brook","Edmonton","21","1956","","No","Yes","Yes","47"
"38015","Intercepting Drain","Enfield","7","1969","1980","No","Yes","No","40"
"38016","Stansted Springs","Mountfitchet","21","1974","","No","Yes","Yes",""
"38017","Mimram","Whitwell","39","1970","","No","Yes","Yes","16"
"38018","Upper Lee","Water Hall","150","1971","","Yes","Yes","Yes","27"
"38019","Salmon Brook","Montague Road","34","1971","1981","No","Yes","No","46"
"38020","Cobbins Brook","Sewardstone Road","38","1971","","Yes","Yes","Yes","50"
"38021","Turkey Brook","Albany Park","42","1971","","Yes","Yes","Yes","48"
"38022","Pymmes Brook","Edmonton Silver Street","43","1972","","Yes","Yes","Yes","48"
"38023","Lee flood relief","Low Hall","1243","1974","","No","Yes","Yes","36"
"38024","Small River Lee","Ordnance Road","42","1973","","No","Yes","Yes","41"
"38025","Pymmes Brook","Alcazar","41","1954","1974","No","Yes","No","48"
"38026","Pincey Brook","Sheering Hall","55","1974","","Yes","Yes","Yes","47"
"38027","Stort","Glen Faba","280","1976","","No","Yes","Yes","37"
"38028","Stansted Brook","Gypsy Lane","26","1977","","No","Yes","Yes","26"
"38029","Quin","Griggs Bridge","50","1978","","No","Yes","Yes","39"
"38030","Beane","Hartham","175","1979","","No","Yes","Yes","37"
"38031","Lee","Rye Bridge","758","1993","","No","Yes","Yes","33"
"38032","Lee","Lea Bridge","1364","1992","","No","Yes","Yes","37"
"38033","Upper Lee","Luton East Hyde","71","2009","","No","Yes","Yes","14"
"39001","Thames","Kingston","9948","1883","","Yes","Yes","Yes","27"
"39002","Thames","Days Weir","3445","1938","2016","Yes","Yes","No","27"
"39003","Wandle","South Wimbledon","176","1962","","Yes","Yes","Yes","20"
"39004","Wandle","Beddington Park","122","1936","2016","Yes","Yes","No","17"
"39005","Beverley Brook","Wimbledon Common","44","1935","","Yes","Yes","No","34"
"39006","Windrush","Newbridge","363","1950","","Yes","Yes","Yes","17"
"39007","Blackwater","Swallowfield","355","1952","","Yes","Yes","Yes","27"
"39008","Thames","Eynsham","1616","1951","2016","Yes","Yes","No","24"
"39009","Thames","Bray Weir","6915","1959","1982","No","Yes","No","26"
"39010","Colne","Denham","743","1953","","Yes","Yes","Yes","32"
"39011","Wey","Tilford","396","1954","","Yes","Yes","Yes","18"
"39012","Hogsmill","Kingston upon Thames","69","1956","","Yes","Yes","Yes","27"
"39013","Colne","Berrygrove","352","1934","","No","Yes","Yes","35"
"39014","Ver","Hansteads","132","1956","","Yes","Yes","Yes","32"
"39015","Whitewater","Lodge Farm","45","1910","","Yes","Yes","No","8.4"
"39016","Kennet","Theale","1033","1961","","Yes","Yes","No","19"
"39017","Ray","Grendon Underwood","19","1962","","No","Yes","No","52"
"39018","Ock","Abingdon","234","1962","1979","Yes","No","No","29"
"39019","Lambourn","Shaw","234","1962","","Yes","Yes","No","16"
"39020","Coln","Bibury","107","1963","","Yes","Yes","Yes","12"
"39021","Cherwell","Enslow Mill","552","1965","","Yes","Yes","No","31"
"39022","Loddon","Sheepbridge","165","1965","","Yes","Yes","Yes","26"
"39023","Wye","Hedsor","137","1964","","Yes","Yes","Yes","20"
"39024","Gatwick Stream","Gatwick","31","1952","1977","No","Yes","No","34"
"39025","Enborne","Brimpton","148","1966","","Yes","Yes","Yes","33"
"39026","Cherwell","Banbury","199","1966","","Yes","Yes","Yes","43"
"39027","Pang","Pangbourne","171","1968","","Yes","Yes","Yes","22"
"39028","Dun","Hungerford","101","1968","","Yes","Yes","Yes","21"
"39029","Tilling Bourne","Shalford","59","1968","","Yes","Yes","Yes","15"
"39030","Gade","Croxley Green","184","1970","","No","Yes","Yes","26"
"39031","Lambourn","Welford","176","1962","","No","Yes","No","13"
"39032","Lambourn","East Shefford","154","1966","2006","No","Yes","No","12"
"39033","Winterbourne Stream","Bagnor","49","1962","","Yes","Yes","No","22"
"39034","Evenlode","Cassington Mill","430","1969","","Yes","Yes","Yes","24"
"39035","Churn","Cerney Wick","124","1969","","Yes","Yes","No","15"
"39036","Law Brook","Albury","16","1968","","Yes","Yes","Yes","15"
"39037","Kennet","Marlborough","142","1972","","Yes","Yes","No","5.1"
"39038","Thame","Shabbington","443","1968","1994","Yes","Yes","No","37"
"39039","Wye","High Wycombe","68","1968","","No","Yes","No","18"
"39040","Thames","West Mill Cricklade","185","1972","","No","Yes","No","27"
"39042","Leach","Priory Mill Lechlade","77","1972","","Yes","Yes","No","12"
"39043","Kennet","Knighton","295","1962","2016","No","Yes","No","5.9"
"39044","Hart","Bramshill House","84","1972","","Yes","Yes","Yes","30"
"39046","Thames","Sutton Courtenay","3414","1974","","No","Yes","Yes","27"
"39049","Silk Stream","Colindeep Lane","29","1973","","Yes","Yes","Yes","50"
"39051","Sor Brook","Adderbury","106","1967","1988","No","Yes","No","23"
"39052","The Cut","Binfield","50","1957","","Yes","Yes","No","42"
"39053","Mole","Horley","90","1961","","Yes","Yes","No","40"
"39054","Mole","Gatwick Airport","32","1961","","No","Yes","No","41"
"39055","Yeading Brook West","North Hillingdon","18","1974","1995","Yes","Yes","No","50"
"39056","Ravensbourne","Catford Hill","120","1974","","Yes","Yes","Yes","22"
"39057","Crane","Cranford Park","62","1974","","Yes","Yes","Yes","48"
"39058","Pool River","Winsford Road","38","1974","","No","Yes","Yes","32"
"39061","Letcombe Brook","Letcombe Bassett","4","1971","","No","Yes","Yes","5.3"
"39065","Ewelme Brook","Ewelme","13","1970","","No","Yes","Yes","8.3"
"39068","Mole","Castle Mill","316","1971","","No","Yes","Yes","41"
"39069","Mole","Kinnersley Manor","142","1972","","No","Yes","No","42"
"39071","Thames","Ewen","64","1979","","No","Yes","No","15"
"39072","Thames","Royal Windsor Park","7046","1979","","No","Yes","Yes","26"
"39073","Churn","Cirencester","84","1979","","No","Yes","Yes","14"
"39074","Ampney Brook","Sheepen Bridge","74","1980","","No","Yes","No","21"
"39075","Marston Meysey Brook","Whetstone Bridge","25","1980","","No","Yes","No","27"
"39076","Windrush","Worsham","296","1976","","No","Yes","No","15"
"39077","Og","Marlborough Poulton Fm","59","1980","","No","Yes","No","4.6"
"39078","Wey (North)","Farnham","191","1978","","No","Yes","No","13"
"39079","Wey","Weybridge","1008","1979","","No","Yes","Yes","23"
"39081","Ock","Abingdon","234","1979","","Yes","Yes","Yes","30"
"39084","Brent","Brent Cross","36","1980","","No","Yes","Yes","49"
"39085","Wandle","Wandle Park","176","1936","1960","No","Yes","No","17"
"39086","Gatwick Stream","Gatwick Link","34","1975","","Yes","Yes","No","34"
"39087","Ray","Water Eaton","84","1974","","No","Yes","No","43"
"39088","Chess","Rickmansworth","105","1974","","Yes","Yes","Yes","30"
"39089","Gade","Bury Mill","48","1968","","Yes","Yes","Yes","29"
"39090","Cole","Inglesham","140","1976","","Yes","Yes","No","34"
"39091","Misbourne","Quarrendon Mill","66","1978","1985","No","Yes","No","27"
"39092","Dollis Brook","Hendon Lane Bridge","25","1952","2014","No","Yes","No","51"
"39093","Brent","Monks Park","118","1939","","Yes","Yes","Yes","50"
"39094","Crane","Marsh Farm","81","1979","","No","Yes","Yes","40"
"39095","Quaggy","Manor House Gardens","34","1961","2017","No","Yes","No","29"
"39096","Wealdstone Brook","Wembley","22","1976","","Yes","Yes","Yes","51"
"39097","Thames","Buscot","997","1979","1998","No","Yes","No","25"
"39098","Pinn","Uxbridge","33","1985","2004","No","Yes","No","50"
"39099","Ampney Brook","Ampney St Peter","45","1983","","No","Yes","No","16"
"39100","Swill Brook","Oaksey","53","1982","","No","Yes","No","31"
"39101","Aldbourne","Ramsbury","53","1982","2015","No","Yes","No","6.1"
"39102","Misbourne","Denham Lodge","95","1985","","No","Yes","Yes","26"
"39103","Kennet","Newbury","548","1989","2016","No","Yes","No","14"
"39104","Mole","Esher","470","1984","","No","Yes","Yes","35"
"39105","Thame","Wheatley","534","1989","","No","Yes","Yes","38"
"39106","Mole","Leatherhead","371","1986","","No","Yes","Yes","36"
"39107","Hogsmill","Ewell","34","1988","2010","No","Yes","No","10"
"39108","Churn","Perrott's Brook","59","1990","","No","Yes","No","13"
"39109","Coln","Fossebridge","82","1990","","No","Yes","No","11"
"39110","Coln","Fairford","130","1990","","No","Yes","No","13"
"39111","Thames","Staines","8120","1990","","No","Yes","No","27"
"39112","Letcombe Brook","Arabellas Lake","3","1992","","No","Yes","No","5"
"39113","Manor Farm Brook","Letcombe Regis","1","1992","","No","Yes","No","4.8"
"39114","Pang","Frilsham","90","1992","","No","Yes","No","13"
"39115","Pang","Bucklebury","109","1991","","No","Yes","No","16"
"39116","Sulham Brook","Sulham","3","1991","2012","No","Yes","No","38"
"39117","Colne Brook","Hythe End","930","1991","","No","Yes","Yes","31"
"39118","Wey","Alton","45","1991","","No","Yes","No","6.8"
"39119","Wey","Kings Pond (Alton)","46","1991","","No","Yes","No","7"
"39120","Caker Stream","Alton","88","1991","","No","Yes","No","8.3"
"39121","Thames","Walton","9292","1991","","No","Yes","No","27"
"39122","Cranleigh Waters","Bramley","110","1990","","No","Yes","Yes","38"
"39123","Blackwater","Farnborough","36","1996","","No","Yes","No","27"
"39125","Ver","Redbourn","63","1993","","No","Yes","Yes","35"
"39126","Red","Redbourn","19","1993","","No","Yes","Yes","35"
"39127","Misbourne","Little Missenden","47","1993","","No","Yes","Yes","27"
"39128","Bourne (South)","Addlestone","90","1991","","No","Yes","Yes","30"
"39129","Thames","Farmoor","1609","1992","","No","Yes","Yes","24"
"39130","Thames","Reading","4634","1992","","No","Yes","Yes","28"
"39131","Brent","Costons Lane Greenford","146","1989","","No","Yes","Yes","49"
"39134","Ravensbourne","Bromley South","10","1993","","Yes","Yes","No","25"
"39135","Quaggy","Chinbrook Meadows","15","1962","","No","Yes","No","24"
"39137","Yeading West","Gutteridge Wood","21","1994","","No","Yes","Yes","50"
"39138","Loddon","Twyford","752","1994","","No","Yes","No","29"
"39140","Ray","Islip","290","1994","","No","Yes","Yes","37"
"39141","Wey","Guildford","690","1995","","No","Yes","No","21"
"39142","Windrush","Bourton on the Water","66","1994","","No","Yes","No","11"
"39143","Dikler","Bourton on the Water","91","1994","","No","Yes","No","18"
"39144","Sor","Bodicote","88","1994","","No","Yes","Yes","23"
"39145","Yeading Brook East","Western Avenue A40","10","1993","","No","Yes","Yes","51"
"39146","Mill Brook","Blewbury","2","1995","","No","Yes","No","6.4"
"39147","Wendover Springs","Wendover","10","1841","","No","Yes","No","17"
"39148","Thames","Maidenhead","6910","2003","","No","Yes","No","26"
"39866","Jubilee River","Taplow","6909","2003","","No","Yes","No","26"
"40001","Medway","Weir Wood Reservoir","27","1952","1969","No","Yes","No","43"
"40002","Darwell","Darwell Reservoir","10","1956","1975","No","Yes","No","44"
"40003","Medway","Teston / East Farleigh","1256","1956","","Yes","Yes","Yes","41"
"40004","Rother","Udiam","206","1962","","Yes","Yes","Yes","44"
"40005","Beult","Stilebridge","277","1958","","Yes","Yes","Yes","45"
"40006","Bourne","Hadlow","50","1959","","No","Yes","Yes","29"
