"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","SPRHOST (%)"
"18007","Devon","Fossoway Bridge","70","1972","1991","No","Yes","No","41"
"18008","Leny","Anie","190","1974","","No","Yes","No","42"
"18010","Forth","Gargunnock","397","1977","","No","Yes","No","43"
"18011","Forth","Craigforth","1036","1972","","No","Yes","No",""
"18013","Black Devon","Fauld Mill","56","1977","","No","Yes","No","38"
"18014","Bannock Burn","Bannockburn","24","1979","","No","Yes","No","39"
"18015","Eas Gobhain","Loch Venachar","202","1979","","No","Yes","No","41"
"18016","Kelty Water","Clashmore","3","1982","2010","No","Yes","No","40"
"18017","Monachyle Burn","Balquhidder","8","1982","","No","Yes","No","49"
"18018","Kirkton Burn","Balquhidder","7","1983","","No","Yes","No","41"
"18019","Comer Burn","Comer","1","1981","1988","No","Yes","No","56"
"18020","Loch Ard Burn","Duchray","1","1985","","No","Yes","No","29"
"18021","Loch Ard Burn","Elrig","1","1985","","No","Yes","No","29"
"18022","Avon Dhu","Milton","45","1989","","No","Yes","No","42"
"18023","Monachyle Burn","Upper Monachyle","2","1987","","Yes","Yes","No","48"
"19001","Almond","Craigiehall","369","1957","","Yes","Yes","No","44"
"19002","Almond","Almond Weir","44","1962","2008","Yes","Yes","No","47"
"19003","Breich Water","Breich Weir","52","1961","1980","No","Yes","No","48"
"19004","North Esk","Dalmore Weir","82","1960","","Yes","Yes","No","37"
"19005","Almond","Almondell","229","1963","","Yes","Yes","No","46"
"19006","Water of Leith","Murrayfield","107","1963","","Yes","Yes","No","43"
"19007","Esk","Musselburgh","330","1962","","Yes","Yes","No","34"
"19008","South Esk","Prestonholm","112","1964","1990","Yes","Yes","No","31"
"19009","Bog Burn","Cobbinshaw","9","1963","2005","No","Yes","No","49"
"19010","Braid Burn","Liberton","16","1969","","Yes","Yes","No","40"
"19011","North Esk","Dalkeith Palace","137","1975","2012","Yes","Yes","No","37"
"19012","Water of Leith","Colinton","72","1976","","No","Yes","No","43"
"19014","Brox Burn","Newliston","34","1977","","No","Yes","No","43"
"19017","Gogar Burn","Turnhouse","39","1977","","No","Yes","No","43"
"19020","Almond","Whitburn","30","1978","","No","Yes","No","47"
"19021","South Esk","Cowbridge","156","1990","","No","Yes","No","32"
"20001","Tyne","East Linton","307","1961","","Yes","Yes","No","35"
"20002","West Peffer Burn","Luffness","26","1968","","No","Yes","No","32"
