"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"33009","Bedford Ouse","Harrold Mill","40","72","100","140","250"
"33011","Little Ouse","County Bridge Euston","13","24","39","55","66"
"33012","Kym","Meagre Farm","18","33","63","88","100"
"33013","Sapiston","Rectory Bridge","13","35","53","69","95"
"33014","Lark","Temple","9.9","29","53","98","120"
"33015","Ouzel","Willen","57","79","100","140","250"
"33016","Cam","Jesus Lock","7.9","19","55","110","170"
"33017","Bedford Ouse","St Ives","4.1","31","79","130","250"
"33018","Tove","Cappenham Bridge","84","100","130","160","190"
"33019","Thet","Melford Bridge","10","25","39","53","71"
"33020","Alconbury Brook","Brampton","9.5","19","48","72","88"
"33021","Rhee","Burnt Mill","9.4","20","41","96","170"
"33022","Ivel","Blunham","19","38","68","120","180"
"33023","Lea Brook","Beck Bridge","7.9","15","73","110","120"
"33024","Cam","Dernford","15","31","90","120","140"
"33025","Babingly","West Newton Mill","13","20","60","82","93"
"33026","Bedford Ouse","Offord","4.7","35","84","130","250"
"33027","Rhee","Wimpole","19","26","44","81","170"
"33028","Flit","Shefford","37","59","89","120","160"
"33029","Stringside","Whitebridge","7.2","9.5","20","53","83"
"33030","Clipstone Brook","Clipstone","84","98","120","150","160"
"33031","Broughton Brook","Broughton","59","66","92","140","170"
"33032","Heacham","Heacham","10","35","61","72","92"
"33033","Hiz","Arlesey","36","51","84","140","180"
"33034","Little Ouse","Abbey Heath","8.1","25","42","60","95"
"33035","Ely Ouse","Denver Complex","-1.3","6.1","34","85","170"
"33037","Bedford Ouse","Newport Pagnell Total","56","81","110","140","190"
"33039","Bedford Ouse","Roxton","4.7","46","97","140","250"
"33040","Rhee","Ashwell","46","47","55","77","84"
"33044","Thet","Bridgham","15","27","40","53","71"
"33045","Wittle","Quidenham","24","30","44","52","55"
"33046","Thet","Redbridge","21","31","44","56","71"
"33048","Larling Brook","Stonebridge","25","35","39","44","55"
"33049","Stanford Water","Buckenham Tofts","16","27","40","51","61"
"33050","Snail","Fordham","8.9","17","72","110","120"
"33051","Cam","Chesterford","33","63","96","120","140"
"33052","Swaffham Lode","Swaffham Bulbeck","4.4","11","40","100","120"
"33053","Granta","Stapleford","15","32","79","110","130"
"33054","Babingley","Castle Rising","11","18","56","81","93"
"33055","Granta","Babraham","23","42","84","110","130"
"33056","Quy Water","Lode","6.6","9.8","34","98","120"
"33057","Ouzel","Leighton Buzzard","81","89","110","140","250"
"33058","Ouzel","Bletchley","68","88","110","140","250"
"33061","Shep","Fowlmere One","18","21","25","32","34"
"33062","Guilden Brook","Fowlmere Two","22","22","24","26","27"
"33063","Little Ouse","Knettishall","16","27","41","57","66"
"33064","Whaddon Brook","Whaddon","17","20","36","87","120"
"33065","Hiz","Hitchin","62","78","98","150","170"
"33066","Granta","Linton","41","66","95","110","130"
"33068","Cheney Water","Gatley End","47","49","54","73","78"
"33070","Lark","Fornham St Martin","25","45","75","100","120"
"34001","Yare","Colney","6.9","29","46","62","85"
"34002","Tas","Shotesham","9.4","30","46","55","71"
"34003","Bure","Ingworth","12","31","48","78","100"
"34004","Wensum","Costessey Mill","5.3","29","50","71","96"
"34005","Tud","Costessey Park","10","35","47","58","82"
"34006","Waveney","Needham Mill","16","31","48","60","65"
"34007","Dove","Oakley Park","22","39","52","61","65"
"34008","Ant","Honing Lock","9","15","32","47","64"
"34010","Waveney","Billingford Bridge","21","29","42","52","61"
"34011","Wensum","Fakenham","33","47","63","76","93"
"34012","Burn","Burnham Overy","5","22","52","65","83"
"34014","Wensum","Swanton Morley Total","18","38","57","74","96"
"34018","Stiffkey","Warham","8.8","25","52","74","97"
