"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"42020","Tadburn Lake","Romsey","16","32","50","120","170"
"42023","Itchen","Riverside Park","3.4","38","100","160","220"
"42024","Test","Chilbolton Total","40","75","120","190","300"
"42025","Lavant Stream","Leigh Park","12","44","100","170","270"
"42026","Wallop Brook","Bossington","30","57","82","110","170"
"42027","Dever","Bransbury","49","68","92","130","180"
"43001","Avon","Ringwood","15","65","120","180","290"
"43003","Avon","East Mills Total","26","79","130","190","290"
"43004","Bourne","Laverstock","46","83","130","190","270"
"43005","Avon","Amesbury","66","100","130","180","290"
"43006","Nadder","Wilton","52","92","140","190","280"
"43007","Stour","Throop","5.2","41","84","160","280"
"43008","Wylye","South Newton","55","98","140","200","280"
"43009","Stour","Hammoon","41","59","92","150","270"
"43010","Allen","Loverley Farm","37","59","96","190","280"
"43011","Ebble","Bodenham","41","76","130","180","260"
"43012","Wylye","Norton Bavant","96","120","170","220","280"
"43013","Mude","Somerford","7.3","14","36","63","77"
"43014","East Avon","Upavon","93","110","140","190","290"
"43017","West Avon","Upavon","93","110","120","190","290"
"43018","Allen","Walford Mill","19","38","78","160","280"
"43019","Shreen Water","Colesbrook","74","85","110","180","250"
"43021","Avon","Knapp Mill","3.1","55","120","180","290"
"43022","Moors River","Hurn Court","4.8","16","36","97","190"
"43023","Ebble","Nunton Bridge","44","76","130","180","260"
"43024","Wylye","Stockton Park","79","110","160","210","280"
"43025","Dockens Water","Moyles Court","27","49","77","110","120"
"43027","Allen","All Hallows","","","","",""
"43801","Chitterne Brook","Codford","81","120","160","200","230"
"43806","Wylye","Brixton Deverill","120","150","190","220","280"
"44001","Frome","East Stoke Total","8.1","39","110","200","260"
"44002","Piddle","Baggs Mill","5","36","100","180","270"
"44003","Asker","Bridport","8.2","42","95","170","250"
"44004","Frome","Dorchester Total","51","91","150","210","260"
"44006","Sydling Water","Sydling St Nicholas","110","130","190","240","260"
"44008","South Winterbourne","Winterbourne Steepleton","89","120","160","200","240"
"44009","Wey","Broadwey","18","43","100","150","190"
"44011","Asker","East Bridge Bridport","8.2","42","95","170","250"
"44012","Piddle","South House","92","120","160","220","260"
"44013","Piddle","Little Puddle","75","110","150","210","260"
"44014","Piddle","Briantspuddle","34","71","120","190","260"
"44015","Hooke","Hooke","130","160","200","240","250"
"45001","Exe","Thorverton","28","120","240","380","520"
"45002","Exe","Stoodleigh","77","160","290","400","520"
"45003","Culm","Woodmill","45","71","140","250","290"
"45004","Axe","Whitford","7.9","65","130","220","590"
"45005","Otter","Dotton","17","65","130","250","300"
"45006","Quarme","Enterwell","190","250","320","440","520"
"45007","Exe","Trews Weir","4.6","66","170","340","520"
"45008","Otter","Fenny Bridges","57","100","190","260","300"
"45009","Exe","Pixton","120","230","310","400","520"
"45010","Haddeo","Hartford","160","250","310","370","420"
"45011","Barle","Brushford","120","260","360","430","490"
"45012","Creedy","Cowley","17","57","120","190","290"
"45013","Tale","Fairmile","48","76","110","210","280"
"45816","Haddeo","Upton","240","260","310","360","380"
"45817","Unnamed Stream","Upton","240","260","290","320","330"
"45818","Withiel Florey Stream","Bessom Bridge","240","280","340","390","410"
"46002","Teign","Preston","5.2","66","200","390","600"
"46003","Dart","Austins Bridge","24","130","350","480","600"
"46005","East Dart","Bellever","310","360","460","550","600"
"46006","Erme","Ermington","11","63","290","450","480"
"46007","West Dart","Dunnabridge","280","340","420","510","560"
"46008","Avon","Loddiswell","6","82","150","430","510"
"46013","Bovey","Bovey Parke","30","130","260","390","510"
"46014","Teign","Chudleigh","16","94","210","410","600"
"47001","Tamar","Gunnislake","9.1","92","140","230","580"
"47002","Tamar","Werrington","57","98","130","170","230"
"47003","Tavy","Lopwell","8.3","110","220","490","600"
"47004","Lynher","Pillaton Mill","9.1","79","160","290","380"
"47005","Ottery","Werrington Park","56","100","140","220","290"
"47006","Lyd","Lifton Park","50","110","180","270","580"
"47007","Yealm","Puslinch","6.4","53","120","370","490"
"47008","Thrushel","Tinhay","56","100","160","230","340"
"47009","Tiddy","Tideford","5.7","52","110","170","280"
"47010","Tamar","Crowford Bridge","85","110","140","190","230"
"47011","Plym","Carn Wood","16","130","280","430","510"
"47013","Withey Brook","Bastreet","230","250","290","330","380"
"47014","Walkham","Horrabridge","81","160","330","490","550"
"47015","Tavy","Ludbrook","14","120","230","490","600"
"47016","Lumburn","Lumburn Bridge","68","110","160","240","290"
"47017","Wolf","Combe Park Farm","89","130","180","230","280"
"47018","Thrushel","Hayne Bridge","68","110","160","240","340"
"47019","Tamar","Polson Bridge","49","95","140","190","290"
"47020","Inny","Bealsmill","41","130","200","280","360"
"47021","Kensey","Launceston Newport","66","110","160","220","270"
"47022","Tory Brook","Newnham Park","23","85","180","280","410"
"47023","Tamar","Tamarstone Bridge","100","120","160","200","230"
"47024","Tavy","Tavistock Abbey Bridge","81","170","300","520","600"
"47025","Wolf","Germansweek","140","180","220","250","280"
"48001","Fowey","Trekeivesteps","190","220","270","320","400"
"48003","Fal","Tregony","9","55","130","210","300"
"48004","Warleggan","Trengoffe","71","150","230","260","310"
"48005","Kenwyn","Truro","8.3","47","86","120","150"
"48006","Cober","Helston County Bridge","7.1","71","150","190","250"
"48007","Kennal","Ponsanooth","12","120","160","210","250"
"48008","St Austell","Molingey","14","49","120","250","300"
"48009","St Neot","Craigshill Wood","70","150","250","280","340"
"48010","Seaton","Trebrownbridge","25","72","120","240","370"
"48011","Fowey","Restormel","8.9","96","210","280","400"
"48012","Fal","Trenowth","35","87","140","220","300"
"48801","Cober","Trenear","110","130","160","200","250"
"48803","Carnon","Bissoe","9.1","55","99","160","230"
"49001","Camel","Denby","4.5","73","160","280","410"
"49002","Hayle","St Erth","6.6","40","77","130","210"
"49003","De Lank","De Lank","230","250","280","320","410"
"49004","Gannel","Gwills","8.5","43","78","110","200"
"49005","Bolingey Stream","Bolingey Cocks Bridge","10","38","74","110","150"
"49006","Camel","Camelford","180","230","250","290","300"
"49007","Denby","Bodmin Dunmere","","","","",""
"49008","Penberth River","Penberth","","","","",""
"50001","Taw","Umberleigh","11","100","170","280","810"
"50002","Torridge","Torrington","11","87","150","220","620"
"50003","Taw","Sticklepath","220","320","440","540","600"
"50005","West Okement","Vellake","290","430","510","560","620"
"50006","Mole","Woodleigh","49","110","200","330","490"
"50007","Taw","Taw Bridge","85","130","180","450","600"
"50008","Lew","Gribbleford Bridge","81","120","170","240","290"
"50009","Lew","Norley Bridge","100","130","170","230","280"
"50010","Torridge","Rockhay Bridge","63","110","150","190","230"
"50011","Okement","Jacobstowe","84","140","290","530","620"
"50012","Yeo","Veraby","110","160","230","340","430"
"50013","Bray","Leehamford Bridge","230","270","340","450","480"
"50014","Yeo","Collard Bridge","31","130","210","280","360"
"51001","Doniford Stream","Swill Bridge","11","49","130","280","390"
"51002","Horner Water","West Luccombe","55","200","360","460","520"
"51003","Washford","Beggearn Huish","54","130","260","370","420"
"52001","Axe","Wookey","28","42","160","260","280"
"52002","Yeo","Sutton Bingham Reservoir","43","67","100","180","250"
"52003","Halsewater","Halsewater","19","39","98","180","390"
"52004","Isle","Ashford Mill","16","30","83","180","280"
"52005","Tone","Bishops Hull","18","47","120","280","570"
"52006","Yeo","Pen Mill","27","50","89","150","260"
"52007","Parrett","Chiselborough","23","38","68","120","230"
"52008","Tone","Clatworthy Reservoir","200","250","330","380","410"
"52009","Sheppey","Fenny Castle","6.9","27","160","240","300"
"52010","Brue","Lovington","23","40","110","170","260"
"52011","Cary","Somerton","9.1","18","32","67","150"
"52014","Tone","Greenham","77","140","240","360","410"
"52015","Land Yeo","Wraxall Bridge","10","27","93","160","240"
"52016","Currypool Stream","Currypool Farm","50","74","170","310","380"
"52017","Congresbury Yeo","Iwood","8.9","25","81","250","320"
"52020","Gallica Stream","Gallica Bridge","52","78","110","170","220"
"52025","Hillfarrance Brook","Milverton","62","91","150","270","390"
"52026","Alham","Higher Alham","110","140","170","190","210"
"53001","Avon","Melksham","33","58","100","150","260"
"53002","Semington Brook","Semington","35","50","76","140","230"
"53003","Avon","Bath St James","18","53","100","170","300"
"53004","Chew","Compton Dando","19","56","110","210","300"
"53005","Midford Brook","Midford","31","82","130","170","220"
"53006","Frome (Bristol)","Frenchay","23","50","66","110","190"
"53007","Frome (Somerset)","Tellisford","36","80","130","230","300"
"53008","Avon","Great Somerford","58","82","110","170","220"
"53009","Wellow Brook","Wellow","43","93","140","180","220"
"53013","Marden","Stanley","50","78","100","170","260"
"53017","Boyd","Bitton","16","71","110","180","240"
"53018","Avon","Bathford","20","53","100","170","300"
"53019","Woodbridge Brook","Crabb Mill","67","79","93","110","150"
"53020","Gauze Brook","Rodbourne","65","77","100","120","130"
"53022","Avon","Bath ultrasonic","16","53","100","170","300"
"53023","Sherston Avon","Fosseway","78","110","130","170","200"
"53024","Tetbury Avon","Brokenborough","75","100","140","180","220"
"53025","Mells","Vallis","73","110","180","240","300"
"53026","Frome (Bristol)","Frampton Cotterell","45","56","74","120","190"
"53028","By Brook","Middlehill","29","87","140","180","220"
"53029","Biss","Trowbridge","34","45","68","130","230"
"54001","Severn","Bewdley","19","69","130","360","830"
"54002","Avon","Evesham","21","52","96","150","320"
"54003","Vyrnwy","Vyrnwy Reservoir","250","290","480","560","670"
"54004","Sowe","Stoneleigh","55","79","100","130","180"
"54005","Severn","Montford","52","87","230","430","830"
"54006","Stour (Worcs)","Kidderminster Callows Lane","30","69","110","170","310"
"54007","Arrow","Broom","30","60","100","150","290"
"54008","Teme","Tenbury","48","110","210","380","540"
"54010","Stour (Warks)","Alscot Park","38","71","110","190","310"
"54011","Salwarpe","Harford Hill","22","41","69","150","290"
"54012","Tern","Walcot","46","62","89","130","390"
"54013","Clywedog","Cribynau","170","290","370","480","620"
"54014","Severn","Abermule","86","150","280","430","740"
"54015","Bow Brook","Besford Bridge","16","34","53","110","160"
"54016","Roden","Rodington","49","68","89","110","210"
"54017","Leadon","Wedderburn Bridge","9.5","30","66","140","320"
"54018","Rea Brook","Hookagate","66","98","150","330","520"
"54019","Avon","Stareton","55","83","120","160","210"
"54020","Perry","Yeaton","61","79","94","120","360"
"54022","Severn","Plynlimon flume","320","380","500","620","740"
"54023","Badsey Brook","Offenham","28","38","55","170","320"
"54024","Worfe","Burcote","31","69","90","140","210"
"54025","Dulas","Rhos-y-pentref","180","270","340","430","570"
"54026","Chelt","Slate Mill","18","38","100","240","310"
"54027","Frome","Ebley Mill","33","100","180","250","300"
"54028","Vyrnwy","Llanymynech","65","130","270","490","830"
"54029","Teme","Knightsford Bridge","24","95","190","370","540"
"54032","Severn","Saxons Lode","9.5","62","130","350","830"
"54034","Dowles Brook","Oak Cottage","23","83","130","170","230"
"54036","Isbourne","Hinton on the Green","29","48","99","260","330"
"54038","Tanat","Llanyblodwel","76","150","300","540","830"
"54040","Meese","Tibberton","57","72","98","130","160"
"54041","Tern","Eaton upon Tern","54","71","100","150","230"
"54043","Severn","Upton On Severn","9.5","62","130","350","830"
"54044","Tern","Ternhill","62","87","120","170","230"
"54045","Perry","Perry Farm","80","88","110","220","360"
"54046","Worfe","Cosford","60","83","110","140","190"
"54047","Perry","Ruyton Bridge","71","80","96","130","360"
"54048","Dene","Wellesbourne","41","71","97","130","220"
"54049","Leam","Princes Drive Weir","48","68","95","140","220"
"54050","Leam","Eathorpe","59","77","100","140","220"
"54052","Bailey Brook","Ternhill","62","79","90","100","130"
"54053","Corve","Ludlow","86","110","170","260","530"
"54054","Onny","Onibury","97","150","230","380","530"
"54057","Severn","Haw Bridge","7.4","49","110","300","830"
"54058","Stoke Park Brook","Stoke Park","58","68","84","110","140"
"54059","Allford Brook","Allford","56","65","78","87","120"
"54060","Potford Brook","Sandyford Bridge","58","63","73","90","200"
"54061","Hodnet Brook","Hodnet","66","83","140","170","210"
"54062","Stoke Brook","Stoke on Tern","58","74","93","120","130"
"54063","Stour (Worcs)","Prestwood Hospital","53","86","130","200","300"
"54065","Roden","Stanton","62","79","91","110","210"
"54066","Platt Brook","Platt","60","66","74","89","190"
"54067","Smestow Brook","Swindon","60","85","120","150","230"
"54069","Springs Brook","Lower Hordley","","","","",""
"54070","War Brook","Walford","66","79","87","100","120"
"54080","Severn","Dolwen","150","240","340","460","740"
"54081","Clywedog","Bryntail","210","300","390","480","620"
"54083","Crow Brook","Horton","","","","",""
"54084","Cannop Brook","Parkend","37","78","140","210","230"
"54085","Cannop Brook","Cannop Cross","72","100","160","220","230"
"54087","Allford Brook","Childs Ercall","63","67","76","82","85"
"54088","Little Avon","Berkeley Kennels","5.6","27","77","190","250"
"54089","Avon","Bredon","10","43","90","150","330"
"54090","Tanllwyth","Tanllwyth Flume","350","380","490","590","640"
"54091","Severn","Hafren Flume","350","400","550","620","670"
"54092","Hore","Hore Flume","340","390","500","670","740"
"54094","Strine","Crudgington","50","56","70","120","180"
"54095","Severn","Buildwas","34","69","140","380","830"
"54096","Hadley Brook","Wards Bridge","26","39","59","120","180"
"54097","Hore","Upper Hore flume","400","480","580","690","740"
"54098","Cam","Cambridge","15","31","98","210","250"
"54099","Coley Brook","Coley Mill","67","78","100","120","160"
"54100","Lonco Brook","Whitleyford Bridge","73","89","110","130","150"
"54102","Avon","Lilbourne","93","110","140","170","210"
"54106","Stour (Warks)","Shipston","61","91","130","210","310"
"54107","Arrow","Studley","62","83","130","180","290"
"54110","Severn","Deerhurst","8.3","49","110","300","830"
"54111","Avon","Rugby","82","100","130","160","210"
"54112","Leam","Kites Hardwick","69","84","110","160","220"
"54113","Itchen","Southam","71","86","100","130","200"
"54114","Avon","Warwick","45","73","100","140","220"
"54115","Piddle Brook","Wyre Piddle","18","29","54","97","140"
"54906","Stour (Worcs)","Kidderminster Gilt Edge","30","69","110","170","310"
"54907","Arrow","Broom","30","60","100","150","290"
"55002","Wye","Belmont","51","110","300","470","750"
"55003","Lugg","Lugwardine","47","74","160","360","660"
"55004","Irfon","Abernant","190","260","430","540","640"
"55005","Wye","Rhayader","200","280","390","500","750"
"55006","Elan","Caban Coch Reservoir","220","360","460","530","640"
"55007","Wye","Erwood","110","200","340","490","750"
"55008","Wye","Cefn Brwyn","340","400","480","640","740"
"55009","Monnow","Kentchurch","58","95","180","440","720"
"55010","Wye","Pant Mawr","310","370","480","620","750"
"55011","Ithon","Llandewi","230","300","380","460","580"
"55012","Irfon","Cilmery","140","200","320","500","640"
"55013","Arrow","Titley Mill","130","190","290","430","540"
"55014","Lugg","Byton","120","170","290","450","660"
"55015","Honddu","Tafolog","260","350","560","660","720"
"55016","Ithon","Disserth","150","220","320","440","660"
"55017","Chwefru","Carreg-y-wen","160","200","310","500","600"
"55018","Frome","Yarkhill","57","77","140","200","250"
"55020","Pinsley Brook","Cholstrey Mill","78","86","100","190","320"
"55021","Lugg","Butts Bridge","69","92","210","390","660"
"55022","Trothy","Mitchel Troy","18","53","100","190","470"
"55023","Wye","Redbrook","14","73","200","430","750"
"55025","Llynfi","Three Cocks","87","150","220","350","750"
"55026","Wye","Ddol Farm","200","280","390","500","750"
"55027","Rudhall Brook","Sandford Bridge","47","68","100","160","270"
"55028","Frome","Bishops Frome","77","120","160","210","250"
"55029","Monnow","Grosmont","57","95","180","440","720"
"55030","Claerwen","Dol-y-mynach","260","380","470","540","640"
"55031","Yazor Brook","Three Elms","60","70","93","190","290"
"55032","Elan","Caban Dam","210","360","460","530","640"
"55033","Wye","Gwy flume","380","440","550","690","740"
"55034","Cyff","Cyff flume","360","410","480","560","700"
"55035","Iago","Iago flume","380","410","480","580","700"
"55036","Garren","Marstow Mill","21","65","100","180","360"
"56001","Usk","Chainbridge","24","120","310","500","880"
"56002","Ebbw","Rhiwderin","32","160","320","470","620"
"56003","Honddu","The Forge Brecon","150","220","320","400","470"
"56004","Usk","Llandetty","99","190","320","460","880"
"56005","Lwyd","Ponthir","15","78","300","460","580"
"56006","Usk","Trallong","170","240","340","460","830"
"56007","Senni","Pont-Hen-Hafod","220","250","370","570","650"
"56011","Sirhowy","Wattsville","65","170","320","470","620"
"56012","Grwyne","Millbrook","85","210","430","660","810"
"56013","Yscir","Pont-Ar-Yscir","160","250","360","430","470"
"56014","Usk","Usk Reservoir","270","310","360","430","590"
"56015","Olway Brook","Olway Inn","13","36","77","200","300"
"56019","Ebbw","Aberbeeg","150","260","380","510","580"
"57001","Taf Fechan","Taf Fechan Reservoir","320","360","480","630","880"
"57002","Taf Fawr","Llwynon Reservoir","230","330","440","640","870"
"57003","Taff","Tongwynlais","24","140","300","480","880"
"57004","Cynon","Abercynon","82","140","270","400","520"
"57005","Taff","Pontypridd","47","160","320","490","880"
"57006","Rhondda","Trehafod","69","170","330","490","600"
"57007","Taff","Fiddlers Elbow","82","190","360","540","880"
"57008","Rhymney","Llanedeyrn","13","70","210","390","620"
"57009","Ely","St Fagans","9.2","36","86","200","410"
"57010","Ely","Lanelay","47","91","170","260","410"
"57014","Rhymney","Bargoed","140","240","350","460","620"
"57015","Taff","Merthyr Tydfil","170","300","410","600","880"
"57017","Rhondda Fawr","Tynewydd","190","260","480","520","600"
"58001","Ogmore","Bridgend","15","70","190","380","570"
"58002","Neath","Resolven","15","150","310","500","730"
"58003","Ewenny","Ewenny Priory","7.7","24","70","190","300"
"58004","Afan","Cwmafan","43","170","310","490","600"
"58005","Ogmore","Brynmenyn","45","130","260","430","570"
"58006","Mellte","Pontneddfechan","89","270","400","560","730"
"58007","Llynfi","Coytrahen","52","110","200","340","550"
"58008","Dulais","Cilfrew","40","120","230","350","480"
"58009","Ewenny","Keepers Lodge","8.8","25","70","190","300"
"58010","Hepste","Esgair Carnau","330","370","440","600","730"
"58011","Thaw","Gigman Bridge","8.4","29","67","110","130"
"58012","Afan","Marcroft Weir","18","140","300","490","600"
"59001","Tawe","Ynystanglws","12","110","260","510","800"
"59002","Loughor","Tir-y-dail","34","67","150","250","470"
"60001","Tywi","Ty Castell","9.5","73","220","420","830"
"60002","Cothi","Felin Mynachdy","20","120","230","350","480"
"60003","Taf","Clog-y-Fran","8.8","42","120","210","390"
"60004","Dewi Fawr","Glasfryn Ford","11","53","150","220","290"
"60005","Bran","Llandovery","67","110","230","440","520"
"60006","Gwili","Glangwili","9.5","100","190","280","350"
"60007","Tywi","Dolau Hirion","69","150","390","470","540"
"60008","Tywi","Ystradffin","170","330","430","500","540"
"60009","Sawdde","Felin-y-cwm","59","160","270","520","830"
"60010","Tywi","Capel Dewi","8.2","73","220","420","830"
"60012","Twrch","Ddol Las","150","200","310","420","480"
"60013","Cothi","Pont Ynys Brechfa","54","130","240","360","480"
"61001","Western Cleddau","Prendergast Mill","4.8","48","99","190","370"
"61002","Eastern Cleddau","Canaston Bridge","5.1","50","140","280","540"
"61003","Gwaun","Cilrhedyn Bridge","71","140","230","320","470"
"62001","Teifi","Glanteifi","3.6","110","200","340","590"
"62002","Teifi","Llanfair","66","140","220","400","590"
"63001","Ystwyth","Pont Llolwyn","15","89","250","490","610"
"63002","Rheidol","Llanbadarn Fawr","4.2","93","360","530","750"
"63003","Wyre","Llanrhystud","23","130","190","280","360"
"63004","Ystwyth","Cwm Ystwyth","210","340","470","540","610"
"64001","Dyfi","Dyfi Bridge","6.6","110","260","480","900"
"64002","Dysynni","Pont-y-Garth","5.8","71","320","550","890"
"64004","Twymyn","Cemmaes Road","28","140","290","440","540"
"64006","Leri","Dolybont","19","110","260","400","520"
"64010","Mawddach","Tyddyn Gwladys","91","260","390","500","730"
"64011","Cerist","Llaw'r Cae","160","240","420","620","680"
"65001","Glaslyn","Beddgelert","37","110","330","580","1100"
"65004","Gwyrfai","Bontnewydd","35","130","250","540","1100"
"65005","Erch","Pencaenewydd","57","100","140","320","550"
"65006","Seiont","Peblig Mill","19","100","280","640","1100"
"65007","Dwyfor","Garndolbenmaen","85","120","230","480","780"
"65008","Peris","Nant Peris","130","250","530","800","1100"
"65014","Colwyn","Hafod Wydr","160","210","420","620","890"
"65015","Llyfni","Pont Y Cim","18","98","230","470","730"
"66001","Clwyd","Pont-y-Cambwll","18","56","200","360","550"
"66002","Elwy","Pant yr Onen","36","150","260","400","520"
"66004","Wheeler","Bodfari","55","140","200","270","440"
"66005","Clwyd","Ruthin Weir","52","110","240","350","500"
"66006","Elwy","Pont-y-Gwyddel","89","180","280","400","520"
"66011","Conwy","Cwmlanerch","9.8","200","330","490","1100"
"66012","Lledr","Pont Gethin","37","190","320","530","870"
"66025","Clwyd","Pont Dafydd","6.5","50","200","350","550"
"67001","Dee","Bala","160","220","380","530","880"
"67003","Brenig","Llyn Brenig outflow","330","380","420","470","520"
"67005","Ceiriog","Brynkinalt Weir","64","210","390","540","790"
"67006","Alwen","Druid","150","260","370","440","630"
"67008","Alyn","Pont-y-Capel","38","100","230","350","560"
"67009","Alyn","Rhydymwyn","130","210","290","410","560"
"67010","Gelyn","Cynefail","300","340","410","530","680"
"67013","Hirnant","Plas Rhiwedog","190","310","440","580","670"
"67015","Dee","Manley Hall","28","160","350","500","880"
"67017","Tryweryn","Llyn Celyn outflow","250","330","420","550","850"
"67018","Dee","New Inn","160","220","400","530","840"
"67023","Golborne Brook","Tattenhall","22","33","57","140","220"
"67025","Clywedog","Bowling Bank","14","48","110","390","550"
"67027","Dee","Ironbridge","3.8","53","260","460","880"
"67028","Ceidiog","Llandrillo","150","250","440","640","830"
"67029","Trystion","Pen-y-felin Fawr","260","350","470","560","630"
"67033","Dee","Chester Suspension Bridge","2.6","32","240","460","880"
"68001","Weaver","Ashbrook","17","45","75","120","230"
"68002","Gowy","Picton","5.6","18","41","98","220"
"68003","Dane","Rudheath","12","43","95","350","560"
"68004","Wistaston Brook","Marshfield Bridge","31","51","76","130","230"
"68005","Weaver","Audlem","45","68","86","110","220"
"68006","Dane","Hulme Walfield","69","120","240","430","560"
"68007","Wincham Brook","Lostock Gralam","17","39","63","130","180"
"68010","Fender","Ford Lane","9.4","20","45","68","100"
"68011","Arley Brook","Gore Farm","43","53","60","72","82"
"68015","Gowy","Huxley","17","33","59","98","220"
"68018","Dane","Congleton Park","72","130","250","440","560"
"68020","Gowy","Bridge Trafford","6","18","42","98","220"
"68021","Arrowe Brook","Acton Lane","8.2","17","40","74","100"
"68044","Dane","Hug Bridge","140","220","360","470","560"
"69001","Mersey","Irlam Weir","13","36","220","460","640"
"69002","Irwell","Adelphi Weir","26","91","200","360","480"
"69003","Irk","Scotland Weir","29","71","100","180","250"
"69004","Etherow","Bottoms Reservoir","150","240","440","550","630"
"69005","Glaze Brook","Little Woolden Hall","12","19","34","110","160"
"69006","Bollin","Dunham Massey","19","44","83","280","480"
"69007","Mersey","Ashton Weir","18","56","230","470","640"
"69008","Dean","Stanneylands","51","80","140","360","480"
"69011","Micker Brook","Cheadle","35","62","92","260","410"
"69012","Bollin","Wilmslow","60","89","160","320","470"
"69013","Sinderland Brook","Partington","15","21","32","63","82"
"69015","Etherow","Compstall","75","160","340","520","630"
"69017","Goyt","Marple Bridge","79","180","300","450","640"
"69019","Worsley Brook","Eccles","20","24","59","100","130"
"69020","Medlock","London Road","34","63","130","260","380"
"69022","Irwell","Irwell Vale","140","210","300","390","480"
"69023","Roch","Blackford Bridge","61","110","200","370","480"
"69024","Croal","Farnworth Weir","50","100","180","330","460"
"69025","Irwell","Manchester Racecourse","28","92","200","360","480"
"69027","Tame","Portwood","40","98","240","480","580"
"69028","Mersey","Brinksway","39","110","280","490","640"
"69030","Sankey Brook","Causey Bridges","9.8","29","47","77","180"
"69032","Alt","Kirkby","11","21","34","51","96"
"69033","Alt","Sefton","6.3","17","31","50","96"
"69035","Irwell","Bury Bridge","73","150","270","380","480"
"69037","Mersey","Westy","4.8","26","130","370","640"
"69039","Medlock","New Viaduct Street","48","80","160","270","380"
"69041","Tame","Broomstairs","75","130","290","490","580"
"69042","Ding Brook","Naden Reservoir","260","350","430","470","480"
"69043","Irk","Collyhurst Weir","30","73","100","180","250"
"69044","Irwell","Bury Ground","73","170","290","380","480"
"69045","Bollin","Bollington Mill Total","19","45","83","280","480"
"69046","Bradshaw Brook","Bradshaw Tennis Club","97","170","260","350","410"
"69047","Roch","Littleborough","140","190","280","400","470"
"69048","Tame","Uppermill","160","210","310","440","490"
"69803","Roch","Rochdale","110","150","240","380","470"
"70001","Douglas","Rivington Reservoirs","110","140","240","360","460"
"70002","Douglas","Wanes Blades Bridge","6.4","30","80","180","460"
"70003","Douglas","Wigan","34","75","120","310","460"
"70004","Yarrow","Croston Mill","8.3","30","79","170","380"
"70005","Lostock","Littlewood Bridge","7","19","58","140","220"
"71001","Ribble","Samlesbury","6.5","89","200","390","690"
"71002","Hodder","Stocks Reservoir","180","200","300","440","550"
"71003","Croasdale Beck","Croasdale Flume","170","220","340","450","540"
"71004","Calder","Whalley Weir","41","110","210","350","560"
"71005","Bottoms Beck","Bottoms Beck flume","190","230","290","340","400"
"71006","Ribble","Henthorn","41","110","200","420","690"
"71008","Hodder","Hodder Place","44","110","220","410","550"
"71009","Ribble","New Jumbles Rock","33","110","210","400","690"
"71010","Pendle Water","Barden Lane","92","150","240","360","560"
"71011","Ribble","Arnford","120","160","320","480","690"
"71013","Darwen","Ewood","100","150","220","330","400"
"71014","Darwen","Blue Bridge","11","62","150","280","400"
"71015","Dunsop","Footholme Flume","160","250","380","460","530"
"72002","Wyre","St Michaels","6","17","110","360","560"
"72003","Hindburn","Wray","40","130","260","420","550"
"72004","Lune","Caton","12","88","260","480","730"
"72005","Lune","Killington","83","200","290","470","680"
"72006","Lune","Kirkby Lonsdale","38","130","300","500","730"
"72007","Brock","upstream of A6","21","87","170","380","520"
"72008","Wyre","Garstang","13","48","190","410","560"
"72009","Wenning","Wennington","43","120","200","390","720"
"72011","Rawthey","Brigflatts","86","180","370","560","730"
"72014","Conder","Galgate","19","45","110","270","470"
"72015","Lune","Lunes Bridge","160","220","290","450","680"
"72016","Wyre","Scorton Weir","31","98","210","440","560"
"72807","Wenning","Hornby","24","100","220","400","720"
"72817","New Mill Brook","Hollowforth Hall","15","35","70","130","260"
"73002","Crake","Low Nibthwaite","40","49","170","450","800"
"73003","Kent","Burneside","51","110","230","470","820"
"73005","Kent","Sedgwick","18","75","210","440","820"
"73006","Cunsey Beck","Eel House Bridge","61","69","140","220","310"
"73008","Bela","Beetham","11","34","140","240","330"
"73009","Sprint","Sprint Mill","58","150","320","580","780"
"73010","Leven","Newby Bridge","31","50","180","500","890"
"73011","Mint","Mint Bridge","51","130","210","390","550"
"73012","Kent","Victoria Bridge","44","110","230","460","820"
"73013","Rothay","Miller Bridge House","43","89","320","590","870"
"73014","Brathay","Jeffy Knotts","44","90","240","580","890"
"73015","Keer","High Keer Weir","8.9","30","93","150","270"
"73017","Kent","Bowston","58","120","240","470","820"
"74001","Duddon","Duddon Hall","18","130","300","540","820"
"74002","Irt","Galesyke","54","72","380","700","970"
"74003","Ehen","Bleach Green","110","120","370","630","890"
"74005","Ehen","Braystones","9.5","75","160","500","890"
"74006","Calder","Calder Hall","27","94","270","470","670"
"74007","Esk","Cropple How","6.2","79","280","620","970"
"74008","Duddon","Ulpha","76","180","360","620","820"
"75001","St Johns Beck","Thirlmere Reservoir","160","190","460","730","950"
"75002","Derwent","Camerton","17","78","220","550","950"
"75003","Derwent","Ouse Bridge","67","88","310","610","950"
"75004","Cocker","Southwaite Bridge","57","97","270","550","850"
"75005","Derwent","Portinscale","75","140","340","630","950"
"75006","Newlands Beck","Braithwaite","78","150","340","600","840"
"75007","Glenderamackin","Threlkeld","140","190","320","580","860"
"75009","Greta","Low Briery","100","180","350","640","950"
"75010","Marron","Ullock","94","120","180","350","570"
"75016","Cocker","Scalehill","93","110","310","570","850"
"75017","Ellen","Bullgill","28","61","160","280","650"
"75018","Derwent","Seaton Mill","9.2","77","220","550","950"
