"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"54091","Severn","Hafren Flume","4","2500","2200"
"54092","Hore","Hore Flume","3","2500","2300"
"54094","Strine","Crudgington","96","680","680"
"54095","Severn","Buildwas","3717","950","970"
"54096","Hadley Brook","Wards Bridge","53","650","660"
"54097","Hore","Upper Hore flume","2","2600","2400"
"54098","Cam","Cambridge","29","800","850"
"54099","Coley Brook","Coley Mill","37","700","690"
"54100","Lonco Brook","Whitleyford Bridge","34","710","780"
"54102","Avon","Lilbourne","109","670","700"
"54106","Stour (Warks)","Shipston","185","680","700"
"54110","Severn","Deerhurst","9877","790","820"
"54111","Avon","Rugby","243","660","690"
"54114","Avon","Warwick","1012","650","680"
"54906","Stour (Worcs)","Kidderminster Gilt Edge","324","690","700"
"54907","Arrow","Broom","319","690","700"
"55001","Wye","Cadora","4040","1000","1100"
"55002","Wye","Belmont","1896","1200","1300"
"55003","Lugg","Lugwardine","886","810","880"
"55004","Irfon","Abernant","73","1800","1900"
"55005","Wye","Rhayader","167","1700","1600"
"55006","Elan","Caban Coch Reservoir","184","1800","1800"
"55007","Wye","Erwood","1282","1400","1400"
"55008","Wye","Cefn Brwyn","11","2500","2400"
"55009","Monnow","Kentchurch","357","960","1000"
"55010","Wye","Pant Mawr","27","2300","2300"
"55011","Ithon","Llandewi","111","1100","1200"
"55012","Irfon","Cilmery","244","1600","1600"
"55013","Arrow","Titley Mill","126","960","1100"
"55014","Lugg","Byton","203","980","1100"
"55015","Honddu","Tafolog","25","1300","1400"
"55016","Ithon","Disserth","358","1100","1100"
"55017","Chwefru","Carreg-y-wen","29","1500","1400"
"55018","Frome","Yarkhill","144","710","730"
"55020","Pinsley Brook","Cholstrey Mill","24","740","790"
"55021","Lugg","Butts Bridge","371","880","950"
"55022","Trothy","Mitchel Troy","142","890","950"
"55023","Wye","Redbrook","4010","1000","1100"
"55025","Llynfi","Three Cocks","132","1000","1000"
"55026","Wye","Ddol Farm","174","1600","1600"
"55027","Rudhall Brook","Sandford Bridge","13","740","810"
"55028","Frome","Bishops Frome","78","720","740"
"55029","Monnow","Grosmont","354","960","1000"
"55030","Claerwen","Dol-y-mynach","95","1900","1900"
"55031","Yazor Brook","Three Elms","42","690","750"
"55032","Elan","Caban Dam","184","1800","1800"
"55033","Wye","Gwy flume","4","2600","2400"
"55034","Cyff","Cyff flume","3","2400","2400"
"55035","Iago","Iago flume","1","2500","2400"
"55036","Garren","Marstow Mill","91","760","780"
"56001","Usk","Chainbridge","912","1400","1400"
"56002","Ebbw","Rhiwderin","217","1500","1500"
"56003","Honddu","The Forge Brecon","62","1200","1300"
"56004","Usk","Llandetty","544","1500","1500"
"56005","Lwyd","Ponthir","98","1400","1500"
"56006","Usk","Trallong","184","1700","1700"
"56007","Senni","Pont-Hen-Hafod","20","2000","1900"
"56011","Sirhowy","Wattsville","76","1500","1500"
"56012","Grwyne","Millbrook","82","1200","1300"
"56013","Yscir","Pont-Ar-Yscir","63","1300","1400"
"56014","Usk","Usk Reservoir","17","1700","1600"
"56015","Olway Brook","Olway Inn","105","950","1000"
"56019","Ebbw","Aberbeeg","72","1500","1600"
"57001","Taf Fechan","Taf Fechan Reservoir","34","1900","1900"
"57002","Taf Fawr","Llwynon Reservoir","43","2000","2100"
"57003","Taff","Tongwynlais","487","1800","1800"
"57004","Cynon","Abercynon","106","1800","1800"
"57005","Taff","Pontypridd","455","1800","1800"
"57006","Rhondda","Trehafod","101","2200","2200"
"57007","Taff","Fiddlers Elbow","195","1700","1700"
"57008","Rhymney","Llanedeyrn","179","1400","1400"
"57009","Ely","St Fagans","145","1400","1400"
"57010","Ely","Lanelay","39","1600","1600"
"57014","Rhymney","Bargoed","63","1500","1600"
"57015","Taff","Merthyr Tydfil","104","1900","1900"
"57017","Rhondda Fawr","Tynewydd","17","2500","2500"
"57803","Clun","Cross Inn","26","1400","1400"
"58001","Ogmore","Bridgend","158","1800","1800"
"58002","Neath","Resolven","191","1900","2000"
"58003","Ewenny","Ewenny Priory","63","1300","1400"
"58004","Afan","Cwmafan","82","2100","2100"
"58005","Ogmore","Brynmenyn","74","2000","2000"
"58006","Mellte","Pontneddfechan","66","2000","2100"
"58007","Llynfi","Coytrahen","50","1800","1900"
"58008","Dulais","Cilfrew","43","1800","1800"
"58009","Ewenny","Keepers Lodge","63","1300","1400"
"58010","Hepste","Esgair Carnau","11","2100","2200"
"58011","Thaw","Gigman Bridge","49","1100","1200"
"58012","Afan","Marcroft Weir","88","2000","2100"
"59001","Tawe","Ynystanglws","228","1900","1900"
"59002","Loughor","Tir-y-dail","46","1500","1600"
"60001","Tywi","Ty Castell","1088","1500","1600"
"60002","Cothi","Felin Mynachdy","298","1600","1600"
"60003","Taf","Clog-y-Fran","217","1400","1400"
"60004","Dewi Fawr","Glasfryn Ford","37","1500","1500"
"60005","Bran","Llandovery","67","1500","1500"
"60006","Gwili","Glangwili","130","1600","1600"
"60007","Tywi","Dolau Hirion","232","1700","1700"
"60008","Tywi","Ystradffin","90","1800","1900"
"60009","Sawdde","Felin-y-cwm","78","1800","1800"
"60010","Tywi","Capel Dewi","1090","1500","1600"
"60012","Twrch","Ddol Las","21","1500","1700"
"60013","Cothi","Pont Ynys Brechfa","262","1500","1600"
"61001","Western Cleddau","Prendergast Mill","198","1300","1300"
"61002","Eastern Cleddau","Canaston Bridge","183","1400","1400"
"61003","Gwaun","Cilrhedyn Bridge","31","1600","1500"
"62001","Teifi","Glanteifi","894","1400","1400"
"62002","Teifi","Llanfair","510","1400","1400"
"63001","Ystwyth","Pont Llolwyn","170","1500","1500"
"63002","Rheidol","Llanbadarn Fawr","182","1800","1800"
"63003","Wyre","Llanrhystud","41","1200","1300"
"63004","Ystwyth","Cwm Ystwyth","32","2000","2000"
"64001","Dyfi","Dyfi Bridge","471","1800","1800"
"64002","Dysynni","Pont-y-Garth","75","2200","2000"
"64004","Twymyn","Cemmaes Road","111","1500","1600"
"64006","Leri","Dolybont","47","1500","1500"
"64010","Mawddach","Tyddyn Gwladys","63","2000","2100"
"64011","Cerist","Llaw'r Cae","5","2200","2300"
"65001","Glaslyn","Beddgelert","69","2800","3000"
"65004","Gwyrfai","Bontnewydd","48","2200","2400"
"65005","Erch","Pencaenewydd","18","1500","1500"
"65006","Seiont","Peblig Mill","74","2300","2300"
"65007","Dwyfor","Garndolbenmaen","52","2100","2100"
"65008","Peris","Nant Peris","12","3500","3600"
"65014","Colwyn","Hafod Wydr","7","3000","3200"
"65015","Llyfni","Pont Y Cim","48","1900","2100"
"66001","Clwyd","Pont-y-Cambwll","404","910","910"
"66002","Elwy","Pant yr Onen","220","1100","1100"
"66004","Wheeler","Bodfari","63","860","850"
"66005","Clwyd","Ruthin Weir","95","960","960"
"66006","Elwy","Pont-y-Gwyddel","194","1200","1100"
"66011","Conwy","Cwmlanerch","345","2000","2200"
"66012","Lledr","Pont Gethin","73","2500","2600"
"66025","Clwyd","Pont Dafydd","431","900","900"
"67001","Dee","Bala","262","1800","1800"
