"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"94001","Ewe","Poolewe","441","2300","2300"
"94003","Kerry","Faich Bhiorach","42","2300","2400"
"95001","Inver","Little Assynt","138","2200","2000"
"95002","Broom","Inverbroom","141","2000","2300"
"95003","Langwell","Langwell Lodge","31","1900","2000"
"95004","Abhainn a'Chnocain","Elphin","11","2000","2100"
"95005","Laxford","Laxford Bridge","113","2100","2300"
"95006","Rhidorroch","Rhidorroch","77","1900","2000"
"96001","Halladale","Halladale","205","1100","1100"
"96002","Naver","Apigill","477","1400","1500"
"96003","Strathy","Strathy Bridge","112","1100","1100"
"96004","Strathmore","Allnabad","105","2500","2700"
"96005","Dionard","Dionard","73","2300","2200"
"96006","Borgie","Borgie Bridge","139","1300","1400"
"97002","Thurso","Halkirk","413","1100","1000"
"101001","Eastern Yar","Alverstone Mill","58","850","910"
"101002","Medina","Shide","30","840","910"
"101003","Lukely Brook","Carisbrooke Mill","16","860","900"
"101004","Eastern Yar","Burnt House","60","840","910"
"101005","Eastern Yar","Budbridge","23","840","920"
"101006","Wroxall Stream","Waightshale","16","870","910"
"101007","Scotchells Brook","Burnt House","9","850","900"
"102001","Cefni","Bodffordd","22","1100","1100"
"105001","Snizort","Skeabost","81","2200","2000"
"106001","Creed","Creed Bridge","43","1500","1300"
"106002","Laxdale","Laxdale","11","2000","1700"
"106003","Abhainn Roag","Mill Croft","14","1700","1500"
"107001","Durkadale","Durkadale","19","1200","1100"
"201002","Fairywater","Dudgeon Bridge","158","1300","1200"
"201005","Camowen","Camowen Terrace","277","1100","1200"
"201006","Drumragh","Campsie Bridge","320","1200","1200"
"201007","Burn Dennet","Burndennet","148","1200","1200"
"201008","Derg","Castlederg","335","1600","1500"
"201009","Owenkillew","Crosh","440","1400","1300"
"201010","Mourne","Drumnabuoy House","1844","1300","1300"
"202001","Roe","Ardnargle","364","1300","1200"
"202002","Faughan","Drumahoe","273","1200","1200"
"203010","Blackwater","Maydown Bridge","970","1000","1000"
"203011","Main","Dromona","244","1200","1300"
"203012","Ballinderry","Ballinderry Bridge","430","1100","1100"
"203017","Upper Bann","Dynes Bridge","316","1000","1100"
"203018","Six-Mile Water","Antrim","278","1100","1100"
"203019","Claudy","Glenone Bridge","126","1100","1100"
"203020","Moyola","Moyola New Bridge","304","1200","1200"
"203021","Kellswater","Curry's Bridge","126","1200","1200"
"203022","Blackwater","Derrymeen Bridge","183","1100","1100"
"203024","Cusher","Gamble's Bridge","171","1000","1000"
"203025","Callan","Martin's Bridge","167","930","980"
"203026","Glenavy","Glenavy","45","990","1000"
"203027","Braid","Ballee","177","1200","1200"
"203028","Agivey","Whitehill","101","1300","1300"
"203029","Six-Mile Water","Ballyclare","58","1200","1200"
"203033","Upper Bann","Bannfield","102","1300","1300"
"203038","Rocky","Rocky Mountain","8","1600","1600"
"203039","Clogh","Tullynewey","99","1300","1400"
"203040","Lower Bann","Movanagher","5210","1000","1000"
"203042","Crumlin","Cidercourt Bridge","55","990","1000"
"203043","Oonawater","Shanmoy","94","1000","1100"
"203046","Rathmore Burn","Rathmore Bridge","23","1000","1100"
"203049","Clady","Clady Bridge","29","1100","1100"
"203050","Ballysally Blagh","University of Ulster","14","970","930"
"203092","Main","Dunminning","222","1200","1300"
"203093","Main","Shane's Viaduct","707","1200","1200"
"203097","Upper Bann","Moyallen","305","1000","1100"
"204001","Bush","Seneirl Bridge","299","1100","1200"
"205003","Lagan","Dunmurry","445","910","950"
"205004","Lagan","Newforge","492","920","950"
"205005","Ravernet","Ravernet","74","950","940"
"205008","Lagan","Drumiller","85","1000","1100"
"205010","Lagan","Banoge","190","930","990"
"205011","Annacloy","Kilmore Bridge","187","970","970"
"205015","Cotton","Grandmere","19","860","920"
"205020","Enler","Comber","62","930","960"
"205029","Lagan","Feeny","203","910","970"
"205034","Woodburn","Control","0","1200","1200"
"205101","Blackstaff","Eason's","13","990","990"
"205105","Knock","Orangefield","13","920","970"
"206001","Clanrye","Mountmill Bridge","120","980","1100"
"206002","Jerretspass","Jerretspass","108","-10000",""
"206004","Bessbrook","Carnbane","25","1100","1100"
"206006","Annalong","Recorder","14","1700","1600"
"236005","Colebrooke","Ballindarragh Bridge","314","1200","1100"
"236007","Sillees","Drumrainey Bridge","166","1300","1400"
"236051","Ballinamallard","Ballycassidy","159","1100","1100"
