"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"39010","Colne","Denham","743","1953","","Yes","Yes","Yes","GEI"
"39011","Wey","Tilford","396","1954","","Yes","Yes","Yes","GE"
"39012","Hogsmill","Kingston upon Thames","69","1956","","Yes","Yes","Yes","E"
"39013","Colne","Berrygrove","352","1934","","No","Yes","Yes","GEI"
"39014","Ver","Hansteads","132","1956","","Yes","Yes","Yes","G"
"39015","Whitewater","Lodge Farm","45","1910","","Yes","Yes","No","G"
"39016","Kennet","Theale","1033","1961","","Yes","Yes","No","RGI"
"39017","Ray","Grendon Underwood","19","1962","","No","Yes","No","N"
"39018","Ock","Abingdon","234","1962","1979","Yes","No","No","EI"
"39019","Lambourn","Shaw","234","1962","","Yes","Yes","No","RG"
"39020","Coln","Bibury","107","1963","","Yes","Yes","Yes","GE"
"39021","Cherwell","Enslow Mill","552","1965","","Yes","Yes","No","PE"
"39022","Loddon","Sheepbridge","165","1965","","Yes","Yes","Yes","GEI"
"39023","Wye","Hedsor","137","1964","","Yes","Yes","Yes","GI"
"39024","Gatwick Stream","Gatwick","31","1952","1977","No","Yes","No","E"
"39025","Enborne","Brimpton","148","1966","","Yes","Yes","Yes","GI"
"39026","Cherwell","Banbury","199","1966","","Yes","Yes","Yes","P"
"39027","Pang","Pangbourne","171","1968","","Yes","Yes","Yes","RGI"
"39028","Dun","Hungerford","101","1968","","Yes","Yes","Yes","GN"
"39029","Tilling Bourne","Shalford","59","1968","","Yes","Yes","Yes","GIN"
"39030","Gade","Croxley Green","184","1970","","No","Yes","Yes","GI"
"39031","Lambourn","Welford","176","1962","","No","Yes","No","G"
"39032","Lambourn","East Shefford","154","1966","2006","No","Yes","No","G"
"39033","Winterbourne Stream","Bagnor","49","1962","","Yes","Yes","No","RG"
"39034","Evenlode","Cassington Mill","430","1969","","Yes","Yes","Yes","EI"
"39035","Churn","Cerney Wick","124","1969","","Yes","Yes","No","GEI"
"39036","Law Brook","Albury","16","1968","","Yes","Yes","Yes","G"
"39037","Kennet","Marlborough","142","1972","","Yes","Yes","No","G"
"39038","Thame","Shabbington","443","1968","1994","Yes","Yes","No","GE"
