Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
58003;63;8.3;1.6;17;0.6;;300;0.15;0.085;0.63;0.0001;0.13;210;0.56;75;15;0.52;0.66;0.81;0.038;0.061;0.74;0.69
58004;82;41;5.2;74;0.45;;600;0.5;0.012;0.32;0.089;0.032;270;0.43;210;20;0.53;0.5;0.63;0.0087;0.013;0.88;0.92
58005;74;43;3.9;76;0.49;54;570;0.19;0.024;0.63;0.068;0.063;190;0.49;220;16;0.52;0.57;0.67;0.021;0.033;0.96;0.93
58006;66;86;3.3;52;0.36;87;730;0.076;0.005;0.65;0.24;0.0027;190;0.32;130;18;0.62;;;0;0.0002;;
58007;50;50;2.4;45;0.46;44;550;0.26;0.031;0.53;0.042;0.11;170;0.47;160;18;0.52;0.65;0.78;0.037;0.054;1.1;1.1
58008;43;42;2.1;32;0.37;56;480;0.27;0.027;0.54;0.058;0.062;260;0.38;140;16;0.62;0.6;0.71;0.0095;0.018;1.3;1.1
58009;63;8.3;1.9;40;0.57;29;300;0.15;0.082;0.63;0.0001;0.13;210;0.56;76;15;0.52;0.66;0.81;0.037;0.06;0.73;0.67
58010;11;330;0.63;12;0.19;;730;;;0.65;0.35;;170;0.26;78;7.6;0.62;;;0;0;;
58011;49;7.3;1;7.5;0.67;;130;0.13;0.13;0.66;;0.074;220;0.74;68;18;0.47;0.6;0.76;0.014;0.022;0.82;0.82
58012;88;18;5.2;76;0.45;95;600;0.48;0.013;0.33;0.082;0.045;270;0.45;210;24;0.53;0.55;0.69;0.013;0.02;0.66;0.68
59001;228;9.3;12;220;0.36;250;800;0.13;0.02;0.67;0.098;0.056;200;0.41;140;40;0.62;0.57;0.7;0.017;0.024;0.56;0.58
59002;46;31;2.1;36;0.44;56;470;0.11;0.01;0.75;0.063;0.064;170;0.47;100;14;0.58;0.57;0.72;0.013;0.016;0.58;0.55
60001;1088;7.2;;;;390;830;0.21;0.022;0.72;0.025;0.015;210;0.48;160;90;0.59;;;0.0008;0.0018;;
60002;298;16;12;290;0.43;180;480;0.21;0.017;0.73;0.027;0.014;180;0.5;170;53;0.56;0;;0.0002;0.0008;;
60003;217;9.3;7.7;83;0.55;75;390;0.063;0.081;0.82;0.016;0.02;180;0.55;100;39;0.46;;;0.0017;0.004;;
60004;37;10;1.3;16;0.54;;290;0.074;0.067;0.81;0.034;0.018;190;0.57;120;19;0.52;;;0.0001;0.0009;;
60005;67;65;2.4;61;0.42;38;520;0.36;0.033;0.55;0.03;0.016;210;0.48;190;20;0.63;;;0.0003;0.0009;;
60006;130;7.5;5.1;95;0.48;80;350;0.19;0.044;0.74;0.0078;0.022;200;0.54;150;27;0.52;;;0.0009;0.0043;;
60007;232;69;10;250;0.48;170;540;0.36;0.0075;0.59;0.028;0.012;170;0.43;190;39;0.64;;;0.0001;0.0002;;
60008;90;170;4.3;67;0.6;;540;0.53;0.0051;0.42;0.013;0.01;180;0.38;170;22;0.65;;;0;0;;
60009;78;55;3.3;100;0.41;130;830;0.072;0.0072;0.87;0.042;0.0084;320;0.45;170;16;0.62;;;0;0.0006;;
60010;1090;7.8;40;660;0.47;;830;0.21;0.022;0.72;0.025;0.015;210;0.48;160;91;0.59;;;0.0008;0.0018;;
60012;21;150;0.71;17;0.35;15;480;0.093;0.0026;0.86;0.032;0.016;190;0.42;160;13;0.65;;;0;0.0024;;
60013;262;55;8.4;93;0.44;120;480;0.2;0.014;0.74;0.029;0.014;200;0.49;170;42;0.57;;;0.0002;0.0009;;
61001;198;3.5;5.4;66;0.63;72;370;0.05;0.13;0.78;0.0099;0.03;200;0.56;68;31;0.44;;;0.0012;0.0043;;
61002;183;4.9;6.2;110;0.56;80;540;0.079;0.1;0.77;0.013;0.027;190;0.54;96;28;0.44;;;0.0008;0.0035;;
61003;31;70;1.1;17;0.59;22;470;0.1;0.042;0.82;0.015;0.021;310;0.49;120;11;0.44;;;0;0.0001;;
62001;894;5.2;30;370;0.54;200;590;0.12;0.047;0.79;0.018;0.024;290;0.51;110;110;0.52;;;0.0017;0.0047;;
62002;510;66;16;200;0.5;140;590;0.12;0.026;0.8;0.025;0.021;270;0.48;110;76;0.54;;;0.0014;0.0037;;
63001;170;12;6.1;130;0.4;94;610;0.19;0.016;0.73;0.036;0.025;280;0.49;160;41;0.63;;;0.0006;0.0012;;
63002;182;8.9;8.6;210;0.43;;750;0.18;0.0097;0.69;0.094;0.0077;260;0.43;190;46;0.66;;;0.0007;0.0012;;
63003;41;19;1;35;0.42;20;360;0.088;0.026;0.85;0.013;0.022;300;0.47;110;18;0.53;0;;0.0002;0.0018;;
63004;32;200;2;35;0.31;;610;0.22;0.0006;0.61;0.088;0.07;190;0.36;190;15;0.65;;;0;0;;
64001;471;5.9;23;460;0.39;320;900;0.29;0.0052;0.62;0.058;0.0025;220;0.48;270;40;0.66;;;0.0004;0.0007;;
64002;75;2.3;4.4;98;0.48;75;890;0.23;0.0042;0.65;0.08;0.001;210;0.45;320;19;0.66;;;0.0002;0;;
64004;111;26;4.2;97;0.37;;540;0.2;0.0043;0.71;0.068;0.0022;240;0.44;220;25;0.66;;;0.0007;0.0005;;
64006;47;15;1.4;43;0.49;18;520;0.1;0.011;0.83;0.034;0.0065;260;0.5;200;18;0.66;;;0.0012;0.0014;;
64010;63;87;3.9;200;0.22;;730;0.26;0.0009;0.54;0.18;0.002;260;0.33;160;15;0.71;;;0;0;;
64011;5;160;0.38;5;0.45;5.4;680;0.011;;0.93;0.038;;66;0.46;430;4.1;0.66;;;0;0;;
65001;69;33;5.8;87;0.32;86;1100;0.18;0.0007;0.58;0.15;0.0033;210;0.41;310;17;0.62;;;0.0002;0.0003;;
65004;48;31;2.3;35;0.42;22;1100;0.14;0.0058;0.69;0.078;0.018;270;0.41;210;19;0.54;;;0.001;0.0024;;
65005;18;56;0.61;28;0.53;11;550;0.15;0.0045;0.77;0.046;0.0043;180;0.44;96;13;0.56;;;0;0.0012;;
65006;74;19;5.1;66;0.42;50;1100;0.1;0.0089;0.65;0.1;0.027;300;0.5;260;23;0.49;0.38;0.68;0.0051;0.0097;0.69;0.7
65007;52;86;2.7;37;0.38;43;780;0.038;0.0066;0.83;0.095;0.0046;220;0.4;190;13;0.56;;;0;0;;
65008;12;140;1.2;30;0.22;;1100;0.011;0.0039;0.57;0.22;0.017;310;0.55;490;5.4;0.71;;;0;0;;
65014;7;170;0.58;8.6;0.23;;890;0.038;;0.8;0.073;0.0042;260;0.3;230;5.5;0.57;;;0;0;;
65015;48;22;2.4;34;0.53;;730;0.056;0.004;0.74;0.092;0.022;300;0.45;210;16;0.56;0.43;0.68;0.0053;0.0089;0.81;0.75
66001;404;15;6.3;89;0.59;49;550;0.19;0.034;0.73;0.022;0.013;15;0.59;120;45;0.41;;0.78;0.0036;0.0058;;0.71
66002;220;36;4.6;92;0.46;66;520;0.098;0.011;0.81;0.064;0.0024;34;0.48;130;41;0.58;;;0.0004;0.0008;;
66004;63;55;0.74;6.4;0.82;3.7;440;0.19;0.04;0.73;0.015;0.019;240;0.7;110;14;0.38;;;0.0022;0.0036;;
66005;95;51;1.4;21;0.55;17;500;0.23;0.013;0.71;0.028;0.012;46;0.52;110;28;0.51;;0.56;0.0032;0.0053;;0.16
66006;194;88;4.4;94;0.46;72;520;0.086;0.0089;0.82;0.072;0.0025;28;0.48;130;30;0.6;;;0.0004;0.0009;;
66011;345;12;19;430;0.28;370;1100;0.17;0.0041;0.65;0.15;0.005;45;0.36;170;32;0.7;;;0.0005;0.0006;;
66012;73;38;5.1;130;0.24;;870;0.28;0.0039;0.56;0.13;0.0084;57;0.35;210;18;0.71;;;0.0004;0.001;;
66025;431;7;6.6;54;0.58;;550;0.19;0.036;0.73;0.021;0.014;6;0.58;120;51;0.4;;0.77;0.0038;0.006;;0.77
67001;262;160;13;180;0.52;;880;0.14;0.0018;0.65;0.16;0.0051;92;0.35;150;24;0.71;;;0.0006;0.0012;;
67002;1028;23;;;;;880;0.17;0.017;0.63;0.15;0.01;82;0.43;150;94;0.55;;;0.0024;0.0043;;
67003;20;330;0.58;12;0.47;;520;0.42;;0.16;0.24;0.0012;170;0.32;72;8;0.7;;;0;0;;
67005;114;64;3.1;48;0.54;29;790;0.14;0.0036;0.65;0.19;0.005;99;0.46;190;30;0.51;;;0.0014;0.0013;;
67006;185;150;5;120;0.48;75;630;0.18;0.0027;0.67;0.093;0.0034;130;0.4;120;31;0.62;;;0.0004;0.0005;;
67008;227;37;2.3;48;0.56;21;560;0.16;0.05;0.66;0.046;0.064;63;0.59;110;52;0.41;0.68;0.82;0.02;0.029;0.57;0.57
67009;78;120;0.6;28;0.33;8.7;560;0.21;0.015;0.66;0.081;0.0073;38;0.61;140;27;0.41;;;0.0016;0.0016;;
67010;13;310;0.7;16;0.26;16;680;;;0.73;0.26;;240;0.25;130;7.7;0.71;;;0;0;;
67013;34;200;1.2;26;0.4;24;670;0.46;0.0003;0.29;0.24;0.0032;340;0.41;220;11;0.71;;;0;0;;
67015;1013;25;31;520;0.54;220;880;0.18;0.012;0.63;0.15;0.01;85;0.43;150;93;0.55;;;0.0025;0.0043;;
67017;60;250;3.8;18;0.42;;850;0.048;0.002;0.6;0.27;0.0082;68;0.26;140;14;0.71;;;0;0;;
67018;54;160;3.1;66;0.27;75;840;0.25;0.0007;0.57;0.17;0.0033;85;0.31;150;15;0.71;;;0.0001;0.0004;;
67023;18;;0.089;3.1;0.39;;220;0.058;0.31;0.6;0.0022;0.036;320;0.5;59;9.8;0.34;0.54;0.72;0.013;0.017;0.61;0.49
67025;99;14;1.3;20;0.57;;550;0.072;0.13;0.5;0.1;0.18;95;0.53;62;27;0.51;0.74;0.85;0.068;0.098;0.88;0.87
67027;1674;4.7;38;310;0.58;;880;0.14;0.068;0.63;0.1;0.035;69;0.47;120;140;0.45;0.67;0.81;0.011;0.017;0.51;0.53
67028;37;160;1.4;20;0.47;;830;0.18;;0.61;0.21;0.0011;330;0.35;190;9.3;0.51;;;0.0006;0.0008;;
67029;12;250;0.31;3.5;0.43;;630;0.2;;0.29;0.51;;320;0.37;180;6.8;0.51;;;0;0;;
67033;1817;10;34;310;0.5;;880;0.14;0.088;0.63;0.095;0.036;61;0.47;110;150;0.43;0.67;0.81;0.012;0.017;0.54;0.57
68001;622;16;5.6;85;0.54;47;230;0.05;0.24;0.63;0.0006;0.068;13;0.51;30;65;0.34;0.72;0.82;0.023;0.027;0.76;0.76
68002;156;3.1;1.2;31;0.51;;220;0.064;0.29;0.6;0.0001;0.049;290;0.54;34;34;0.35;0.51;0.68;0.012;0.017;0.93;0.92
68003;407;13;5;72;0.52;55;560;0.066;0.16;0.63;0.029;0.11;280;0.46;60;74;0.4;0.72;0.83;0.036;0.048;0.84;0.81
68004;93;30;0.91;16;0.6;;230;0.045;0.24;0.53;0.0023;0.18;300;0.55;32;23;0.35;0.8;0.87;0.085;0.093;0.63;0.65
