Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
71014;128;8.1;3.9;100;0.45;88;400;0.11;0.044;0.54;0.058;0.23;310;0.41;77;32;0.51;0.75;0.86;0.1;0.14;1.1;1.1
71015;25;160;1;25;0.25;;530;0.036;0.0003;0.47;0.47;0.0071;200;0.3;180;9.1;0.6;;;0;0;;
72002;275;4.4;6.9;150;0.32;130;560;0.074;0.11;0.62;0.16;0.039;250;0.37;71;38;0.56;0.63;0.74;0.0057;0.012;0.69;0.65
72003;84;130;3;120;0.27;130;550;0.068;0.0087;0.75;0.16;0.0025;340;0.3;110;17;0.6;;;0.0002;0.0008;;
72004;983;11;36;1400;0.32;730;730;0.055;0.018;0.81;0.084;0.013;280;0.4;140;75;0.64;;;0.0016;0.0043;;
72005;219;83;10;460;0.32;270;680;0.044;0.011;0.83;0.082;0.009;120;0.44;170;36;0.71;;;0.0008;0.0019;;
72006;507;36;;;;440;730;0.055;0.012;0.84;0.071;0.0096;270;0.42;170;55;0.71;;;0.001;0.0029;;
72007;32;24;0.86;31;0.35;29;520;0.12;0.053;0.74;0.077;0.0071;220;0.32;110;15;0.6;;;0;0;;
72008;114;11;3.6;110;0.31;;560;0.076;0.02;0.58;0.29;0.024;240;0.33;98;30;0.6;;0.85;0.0043;0.0083;;0.16
72009;142;39;4.3;140;0.27;110;720;0.046;0.019;0.77;0.1;0.016;360;0.37;91;29;0.6;;0.6;0.0018;0.0061;;0.57
72011;200;84;9.3;380;0.23;270;730;0.052;0.0024;0.85;0.077;0.006;290;0.35;180;28;0.71;;;0.0009;0.0025;;
72014;29;17;0.69;25;0.35;17;470;0.077;0.046;0.74;0.085;0.039;270;0.44;93;14;0.6;;0.65;0.002;0.0064;;0.25
72015;142;170;6.6;300;0.31;200;680;0.026;0.013;0.83;0.097;0.0053;46;0.44;150;20;0.71;;;0.0011;0.0022;;
72016;89;32;3.4;450;0.3;79;560;0.058;0.016;0.57;0.34;0.0083;240;0.32;100;23;0.6;;;0.0002;0.0004;;
72807;232;23;;;;210;720;0.058;0.019;0.76;0.12;0.011;340;0.35;98;34;0.6;;;0.0012;0.0043;;
72817;32;16;0.67;38;0.26;21;260;0.058;0.18;0.7;;0.059;240;0.39;36;17;0.52;0.53;0.68;0.0086;0.021;0.56;0.63
73002;73;39;4.2;43;0.58;20;800;0.14;0.032;0.72;0.031;0.009;150;0.36;200;19;0.71;;;0.001;0.0008;;
73003;74;51;3.7;78;0.38;66;820;0.055;0.065;0.82;0.042;0.008;170;0.47;170;22;0.71;;;0.0025;0.0037;;
73005;209;19;9.4;390;0.41;160;820;0.06;0.056;0.81;0.038;0.034;180;0.51;150;34;0.71;0.65;0.77;0.012;0.018;0.43;0.42
73006;19;63;0.95;15;0.42;;310;0.35;0.069;0.5;0.026;0.0037;100;0.45;120;9.4;0.71;;;0.0017;0.0022;;
73008;131;11;3.7;90;0.49;37;330;0.055;0.062;0.82;0.0039;0.044;240;0.53;88;29;0.68;;0.56;0.0029;0.0097;;0.59
73009;35;58;2;69;0.32;42;780;0.065;0.023;0.8;0.1;0.001;160;0.45;220;18;0.71;;;0.0002;0;;
73010;247;37;14;220;0.49;72;890;0.2;0.044;0.63;0.048;0.014;170;0.44;220;36;0.71;;0.72;0.0045;0.0059;;0.75
73011;66;50;2.5;120;0.37;55;550;0.065;0.022;0.88;0.021;0.0081;210;0.51;140;21;0.71;;;0.0005;0.0009;;
73012;183;;8;290;0.37;140;820;0.059;0.046;0.83;0.044;0.012;180;0.5;170;26;0.71;;0.62;0.0037;0.0051;;0.21
73013;64;41;4.3;140;0.31;;870;0.1;0.029;0.78;0.069;0.0063;190;0.41;310;15;0.71;;;0.002;0.0035;;
73014;57;42;5;160;0.25;87;890;0.1;0.022;0.79;0.057;0.0065;96;0.43;300;15;0.71;;;0.0013;0.0002;;
73015;48;7.7;0.65;20;0.37;12;270;0.13;0.075;0.77;;0.024;270;0.49;83;11;0.6;;;0.0006;0.0029;;
73017;71;;3.9;130;0.37;64;820;0.057;0.063;0.82;0.044;0.0045;170;0.45;180;21;0.71;;;0.0015;0.0015;;
74001;86;15;5.1;160;0.29;120;820;0.086;0.017;0.73;0.16;0.0047;160;0.34;210;22;0.71;;;0.0002;0;;
74002;44;54;3.4;47;0.48;22;970;0.028;0.0012;0.85;0.043;0.0031;220;0.37;380;13;0.71;;;0.0003;0.0001;;
74003;44;110;2.7;80;0.38;34;890;0.14;0.001;0.6;0.18;0.0022;290;0.42;320;16;0.71;;;0;0;;
74005;126;10;5.3;76;0.43;70;890;0.1;0.098;0.66;0.082;0.025;240;0.5;170;39;0.69;0.66;0.76;0.012;0.011;0.56;0.53
74006;45;26;1.9;53;0.4;58;670;0.057;0.062;0.71;0.16;0.0032;240;0.42;160;16;0.71;;;0.0013;0.0017;;
74007;70;6.2;4.6;97;0.3;100;970;0.059;0.015;0.86;0.041;0.0066;250;0.42;230;22;0.71;;;0.0003;0.0001;;
74008;48;76;3.2;78;0.26;68;820;0.066;0.0059;0.84;0.073;0.0076;230;0.32;250;15;0.71;;;0.0002;0;;
75001;42;160;0.84;64;0.38;20;950;0.14;0.0006;0.58;0.2;0.0034;320;0.38;290;15;0.71;;;0;0;;
75002;663;17;27;560;0.49;200;950;0.1;0.045;0.72;0.09;0.011;310;0.44;210;67;0.63;;;0.003;0.004;;
75003;363;68;17;310;0.51;99;950;0.12;0.02;0.71;0.1;0.0072;330;0.44;250;42;0.63;;;0.0018;0.0026;;
75004;117;60;5.4;170;0.43;53;850;0.082;0.018;0.71;0.15;0.002;320;0.48;290;23;0.63;;;0.0001;0.0003;;
75005;235;73;12;300;0.44;110;950;0.11;0.015;0.72;0.11;0.0066;330;0.41;250;31;0.64;;;0.0021;0.0029;;
75006;34;75;1.6;37;0.31;;840;0.051;0.015;0.81;0.11;0.0064;47;0.46;380;13;0.64;;;0.0009;0.0015;;
75007;65;140;2.9;75;0.33;61;860;0.11;0.025;0.81;0.052;0.0006;350;0.4;180;19;0.62;;;0.0003;0.0005;;
75009;146;100;;;;110;950;0.11;0.017;0.74;0.1;0.002;330;0.4;230;26;0.63;;;0.0001;0.0004;;
75010;28;94;0.81;14;0.48;;570;0.084;0.071;0.75;0.07;0.015;310;0.54;120;10;0.63;;;0.0008;0.0017;;
75016;64;95;3.5;130;0.42;;850;0.057;0.012;0.69;0.17;0.0012;350;0.44;330;14;0.66;;;0.0001;0.0001;;
75017;96;27;2.4;47;0.49;38;650;0.037;0.11;0.82;0.015;0.016;320;0.49;78;31;0.62;;0.62;0.0039;0.0064;;0.67
75018;;;31;350;0.52;220;950;0.1;0.045;0.72;0.09;0.012;310;0.44;210;71;0.63;;;0.003;0.004;;
76001;33;190;0.56;49;0.51;16;830;0.061;;0.69;0.13;0.0042;68;0.34;290;10;0.71;;;0.0001;0;;
76002;1367;18;34;730;0.5;410;950;0.065;0.064;0.78;0.055;0.015;330;0.51;120;110;0.65;;;0.0028;0.005;;
76003;396;91;16;450;0.51;200;950;0.077;0.032;0.78;0.056;0.021;46;0.45;190;42;0.66;0.6;0.81;0.0051;0.0084;0.47;0.44
76004;159;110;3.8;220;0.39;110;830;0.065;0.014;0.8;0.08;0.0091;48;0.41;150;31;0.69;;;0.0011;0.0015;;
76005;616;92;15;900;0.37;260;800;0.05;0.054;0.8;0.061;0.013;320;0.47;99;63;0.66;;;0.002;0.0039;;
76007;2287;9.9;54;1200;0.49;620;950;0.086;0.085;0.73;0.065;0.024;330;0.49;100;130;0.64;0.66;0.77;0.0056;0.0082;0.44;0.52
76008;335;18;8;200;0.32;150;620;0.18;0.07;0.56;0.16;0.024;220;0.36;76;64;0.62;;;0.0015;0.0027;;
76009;147;60;4.5;96;0.49;;930;0.076;0.032;0.81;0.082;0.0044;15;0.41;130;37;0.62;;;0.0004;0.0006;;
76010;160;20;2.2;54;0.46;33;360;0.088;0.2;0.65;0.017;0.037;28;0.59;52;48;0.64;0.56;0.63;0.0051;0.0074;0.28;0.37
76011;2;280;0.045;1.5;0.18;1.8;330;0.37;0.11;0.16;0.3;0.064;160;0.2;47;2.2;0.62;;;0;0;;
76014;69;160;2.7;120;0.26;88;710;0.019;0.024;0.84;0.094;0.011;310;0.41;150;23;0.68;;;0.0032;0.005;;
76015;145;140;8.2;190;0.54;60;950;0.078;0.0081;0.79;0.06;0.0029;36;0.4;300;24;0.67;;;0.0008;0.0006;;
76017;1373;19;41;1100;0.49;520;950;0.064;0.064;0.78;0.055;0.015;330;0.51;120;110;0.65;;;0.0028;0.0049;;
76019;63;;0.96;50;0.3;40;350;0.072;0.14;0.78;0.0039;0.0059;4;0.43;40;18;0.63;;;0.0006;0.0004;;
76020;;38;2.6;78;0.44;;360;0.092;0.2;0.66;0.018;0.03;;;;;;;;;;;
76021;223;;7.6;290;0.31;180;730;0.035;0.022;0.81;0.11;0.0095;300;0.44;120;30;0.66;;;0.0018;0.004;;
76809;244;;6.6;220;0.43;160;930;0.079;0.085;0.77;0.051;0.01;5;0.42;94;46;0.62;;;0.0013;0.0017;;
76811;36;;1.1;42;0.28;35;530;0.11;0.015;0.86;0.009;0.0007;59;0.46;100;13;0.64;;;0.0006;0;;
77001;842;14;26;720;0.37;640;690;0.31;0.026;0.54;0.11;0.0063;190;0.37;150;66;0.61;;;0.0006;0.0009;;
77002;495;22;18;390;0.38;360;690;0.36;0.013;0.52;0.1;0.003;180;0.41;170;61;0.61;;;0.0007;0.0011;;
77003;319;27;11;290;0.3;300;620;0.26;0.037;0.56;0.14;0.011;180;0.31;130;46;0.62;;;0.0006;0.0006;;
77004;72;21;1.8;38;0.29;;420;0.14;0.074;0.74;0.032;0.018;190;0.32;71;25;0.6;;0.52;0.0024;0.0065;;0.45
77005;191;12;5.1;92;0.28;;520;0.22;0.081;0.6;0.086;0.0083;220;0.32;73;38;0.62;;;0.0001;0.0004;;
78001;730;34;21;200;0.41;;820;0.28;0.063;0.54;0.099;0.012;160;0.49;140;65;0.63;;;0.0016;0.0027;;
78003;925;10;31;410;0.43;320;820;0.25;0.07;0.59;0.081;0.012;170;0.49;130;77;0.62;;;0.0014;0.0025;;
78004;76;54;2.9;66;0.27;78;660;0.3;0.042;0.61;0.031;0.0021;110;0.43;99;28;0.62;;;0.0001;0.0002;;
78005;229;45;8.2;130;0.37;120;690;0.32;0.045;0.56;0.068;0.004;130;0.43;110;36;0.62;;;0.0002;0.0004;;
78006;217;82;9.2;170;0.41;;820;0.36;0.035;0.38;0.2;0.012;180;0.44;210;26;0.72;;;0.0016;0.0025;;
79001;9;390;0.2;7.8;0.11;;680;0.14;0.0011;0.22;0.59;;340;0.37;180;5;0.71;;;0;0;;
79002;799;20;28;470;0.39;450;720;0.14;0.043;0.68;0.12;0.01;85;0.43;160;80;0.67;;;0.0013;0.0023;;
79003;155;170;5.9;140;0.28;71;700;0.18;0.0001;0.57;0.23;0.0083;360;0.36;120;29;0.63;;;0.0017;0.0029;;
79004;142;49;5.8;110;0.31;130;600;0.16;0.011;0.75;0.075;0.0035;110;0.45;200;27;0.66;;;0.0001;0.0006;;
79005;238;23;8.3;150;0.38;110;600;0.21;0.026;0.68;0.067;0.009;110;0.5;130;44;0.64;;;0.0004;0.0012;;
79006;471;52;17;340;0.34;340;720;0.12;0.026;0.68;0.15;0.0083;33;0.39;150;59;0.68;;;0.0015;0.0023;;
79007;125;8;2.4;19;0.55;;270;0.14;0.16;0.61;0.041;0.04;210;0.51;50;26;0.6;0.65;0.83;0.0062;0.013;1;1
80001;199;10;6;110;0.36;84;420;0.21;0.049;0.69;0.035;0.011;170;0.38;80;38;0.64;;;0.0004;0.0016;;
80002;809;43;41;420;0.4;;810;0.37;0.0062;0.52;0.078;0.005;170;0.37;120;69;0.65;;;0.0001;0.0007;;
80003;6;230;0.42;6.3;0.17;6.5;660;0.1;;0.67;0.23;;2;0.39;250;4.4;0.69;;;0;0;;
80004;3;230;0.2;2.7;0.16;;550;0.36;;0.51;0.13;;330;0.36;190;3;0.69;;;0;0;;
80005;2;260;0.17;4;0.26;;710;;;0.53;0.47;;0;0.35;310;2.6;0.69;;;0;0;;
80006;16;230;1.2;10;0.46;;710;0.16;;0.54;0.23;;9;0.36;220;6.5;0.69;;;0;0;;
81001;18;150;0.51;5.8;0.23;;390;0.39;0.002;0.062;0.51;;140;0.24;56;9.7;0.57;;;0;0;;
81002;368;4.8;16;260;0.28;210;840;0.49;0.0033;0.4;0.09;0.0076;200;0.34;120;46;0.69;;;0.0008;0.0017;;
81003;171;19;6.2;120;0.22;160;440;0.16;0.0066;0.34;0.49;0.0038;170;0.3;72;33;0.58;;;0;0.0002;;
81004;334;11;10;130;0.34;;320;0.37;0.011;0.44;0.16;0.0082;120;0.29;45;47;0.62;;;0.0002;0.0002;;
81005;34;6.2;0.72;15;0.37;;180;0.025;0.2;0.74;0.01;0.019;79;0.37;64;16;0.51;;;0.0009;0.0016;;
81006;141;27;7.8;150;0.27;;840;0.41;0.0003;0.46;0.11;0.0032;230;0.35;170;28;0.69;;;0;0;;
81007;77;7.6;3.6;60;0.28;;710;0.44;0.0037;0.42;0.13;0.0056;130;0.39;130;18;0.68;;;0;0;;
82001;246;9.1;6.9;130;0.33;100;660;0.2;0.036;0.65;0.081;0.014;320;0.4;110;55;0.6;;;0.0022;0.004;;
82002;324;22;7.7;77;0.57;;840;0.19;0.018;0.63;0.11;0.0061;320;0.33;110;58;0.61;;;0.0006;0.0016;;
82003;341;8.6;11;170;0.31;200;620;0.32;0.011;0.51;0.15;0.0083;290;0.39;110;51;0.63;;;0;0.0016;;
83002;89;19;2.8;45;0.21;;520;0.077;0.0029;0.65;0.21;0.046;150;0.37;95;20;0.61;0.68;0.77;0.013;0.022;0.55;0.57
83003;166;90;5.3;120;0.3;100;590;0.069;0.021;0.57;0.32;0.0086;250;0.33;90;39;0.67;;;0.0012;0.0038;;
83004;181;81;5.7;130;0.27;130;560;0.19;0.038;0.53;0.19;0.028;310;0.31;70;35;0.62;;0.78;0.0045;0.0087;;0.53
83005;381;4.8;9.7;210;0.27;200;380;0.13;0.12;0.6;0.078;0.06;240;0.34;56;53;0.6;0.83;0.84;0.024;0.027;0.57;0.57
83006;574;2.5;16;310;0.3;250;590;0.12;0.089;0.59;0.17;0.019;290;0.33;74;69;0.62;;0.75;0.0034;0.0061;;0.84
83007;55;7;1.8;40;0.27;;260;0.085;0.047;0.81;0.04;0.013;210;0.34;47;28;0.61;;;0.0029;0.0029;;
83008;91;14;3.7;110;0.27;;280;0.062;0.04;0.78;0.067;0.043;230;0.35;51;32;0.61;0.77;0.85;0.014;0.018;0.52;0.6
83009;184;4.4;6.3;230;0.23;;520;0.082;0.0069;0.72;0.14;0.045;170;0.37;80;29;0.61;0.71;0.81;0.013;0.021;0.54;0.56
83010;73;61;2.4;65;0.28;;380;0.24;0.076;0.48;0.18;0.023;230;0.4;78;18;0.6;0.66;0.69;0.007;0.0082;0.33;0.31
83011;60;210;2.1;69;0.41;;590;0.045;0.0003;0.5;0.41;0.012;310;0.35;110;18;0.71;;;0.0012;0.0048;;
83012;14;200;0.46;9.7;0.21;;490;0.084;;0.57;0.33;0.0093;250;0.27;72;11;0.71;;;0;0;;
83013;218;21;6.2;220;0.26;88;380;0.13;0.16;0.59;0.078;0.037;250;0.35;64;39;0.59;0.8;0.79;0.015;0.016;0.4;0.41
84001;335;27;8.7;180;0.42;81;580;0.12;0.033;0.6;0.081;0.14;170;0.41;78;38;0.58;0.78;0.85;0.06;0.066;0.82;0.89
84002;12;230;0.66;13;0.16;16;490;0.0028;;0.31;0.68;;49;0.27;95;8.3;0.61;;;0;0;;
84003;1093;52;29;490;0.5;270;750;0.1;0.079;0.6;0.19;0.016;22;0.45;120;95;0.6;;;0.0019;0.0039;;
84004;742;180;20;300;0.51;200;750;0.089;0.066;0.58;0.25;0.0093;360;0.46;140;78;0.6;;;0.0011;0.0021;;
84005;1704;18;44;680;0.45;380;750;0.13;0.097;0.56;0.16;0.043;7;0.42;97;120;0.59;0.7;0.82;0.013;0.018;0.27;0.32
84006;64;35;2;21;0.44;;520;0.084;0.013;0.69;0.09;0.096;170;0.43;94;17;0.57;0.62;0.79;0.027;0.04;0.86;0.92
84007;93;44;1.9;32;0.59;21;310;0.2;0.13;0.39;0.086;0.15;260;0.33;47;28;0.58;0.71;0.82;0.062;0.064;0.51;0.7
84008;51;17;1.6;36;0.32;30;370;0.084;0.02;0.61;0.12;0.15;21;0.32;53;22;0.58;0.83;0.84;0.062;0.07;0.7;0.71
84009;66;120;1.7;44;0.38;;520;0.23;0.081;0.51;0.14;0.023;39;0.41;88;22;0.66;;0.7;0.0029;0.0085;;0.4
84011;86;11;4.1;96;0.34;72;440;0.12;0.0044;0.69;0.14;0.032;76;0.45;72;25;0.61;0.74;0.76;0.018;0.013;0.41;0.43
84012;235;5.1;6.7;170;0.35;110;370;0.093;0.031;0.57;0.043;0.24;9;0.41;64;37;0.6;0.84;0.87;0.13;0.13;0.75;0.76
84013;1903;7.5;48;940;0.46;430;750;0.12;0.092;0.55;0.15;0.064;360;0.41;92;130;0.59;0.74;0.84;0.022;0.03;0.31;0.34
84014;266;54;7.9;210;0.28;160;470;0.18;0.11;0.53;0.15;0.032;37;0.38;62;43;0.59;0.64;0.81;0.0056;0.01;0.45;0.49
84015;235;31;6.9;88;0.43;62;580;0.091;0.025;0.63;0.097;0.12;180;0.39;81;26;0.58;0.72;0.82;0.048;0.058;0.82;0.91
84016;34;68;0.86;37;0.41;17;220;0.1;0.062;0.56;0.1;0.13;310;0.33;56;13;0.58;0.67;0.81;0.037;0.066;0.54;0.6
84017;103;25;4.7;96;0.38;35;520;0.06;0.0078;0.65;0.2;0.047;85;0.45;89;25;0.61;0.67;0.83;0.0095;0.017;0.57;0.71
84018;933;170;26;450;0.51;250;750;0.097;0.066;0.6;0.21;0.012;7;0.45;130;85;0.61;;;0.0013;0.0024;;
84019;130;13;2.4;93;0.46;38;300;0.081;0.066;0.43;0.097;0.26;250;0.33;50;38;0.58;0.78;0.88;0.1;0.15;0.71;0.71
84020;52;39;2.1;57;0.3;54;580;0.088;0.0041;0.72;0.16;0.02;170;0.41;140;15;0.59;0.58;0.69;0.009;0.01;0.39;0.46
84022;110;230;3.3;92;0.41;;590;0.1;0.02;0.73;0.14;0.0019;67;0.37;120;31;0.71;;;0;0.0002;;
84023;36;57;0.74;16;0.48;8.7;120;0.1;0.0064;0.55;0.09;0.21;310;0.31;38;16;0.58;0.67;0.83;0.075;0.094;0.97;0.96
84024;20;170;0.36;2.7;0.64;;280;0.1;0.12;0.34;0.26;0.061;260;0.37;42;10;0.58;0.012;0.021;0.0011;0.0044;0.006;0.012
84025;88;38;2.3;95;0.41;32;220;0.1;0.034;0.56;0.085;0.17;300;0.32;48;22;0.58;0.7;0.83;0.059;0.077;0.86;0.92
84026;33;34;1.3;41;0.35;35;400;0.28;0.012;0.5;0.11;0.077;110;0.37;100;16;0.61;0.88;0.9;0.04;0.042;0.25;0.27
84027;61;100;1.1;22;0.34;;300;0.077;0.096;0.45;0.15;0.17;240;0.34;55;23;0.58;0.75;0.85;0.058;0.083;0.49;0.53
84029;25;120;0.57;18;0.3;;300;0.069;0.22;0.64;0.0051;0.061;19;0.4;53;11;0.58;0.69;0.85;0.012;0.017;0.7;0.7
84030;106;46;3.6;76;0.31;;370;0.11;0.067;0.62;0.052;0.13;360;0.37;64;19;0.59;0.81;0.85;0.062;0.065;0.79;0.81
84031;5;120;0.02;1.3;0.32;;240;0.044;0.22;0.65;;0.065;32;0.35;51;6.4;0.58;0.75;0.9;0.023;0.032;0.49;0.55
84032;5;28;0.098;2.7;0.24;;130;0.065;;0.26;0.037;0.62;350;0.31;50;6.4;0.61;0.9;0.9;0.37;0.34;0.87;0.82
84033;120;20;3.5;91;0.32;;370;0.11;0.058;0.58;0.05;0.17;360;0.37;65;26;0.59;0.81;0.86;0.095;0.094;0.66;0.7
84034;17;39;0.36;11;0.41;;240;0.074;0.0014;0.53;0.027;0.34;29;0.48;57;12;0.61;0.87;0.87;0.16;0.18;0.77;0.82
84035;17;100;0.48;14;0.3;20;210;0.086;0.0027;0.42;0.015;0.44;300;0.34;57;9.9;0.58;0.85;0.88;0.22;0.26;1.3;1.2
84036;20;99;0.78;17;0.4;;330;0.08;0.06;0.77;0.029;0.028;360;0.43;76;12;0.61;;;0.0018;0.0012;;
84037;97;190;2.8;61;0.41;;580;0.14;0.034;0.72;0.086;0.013;35;0.39;110;23;0.71;;;0.0012;0.0029;;
85001;784;5.3;46;220;0.76;120;1100;0.13;0.0036;0.47;0.28;0.0083;190;0.44;180;65;0.71;;;0.0025;0.0037;;
85002;220;9.5;7.8;160;0.3;120;580;0.16;0.0096;0.59;0.22;0.0079;320;0.45;110;40;0.65;;;0.0008;0.0032;;
85003;80;9.5;5.9;120;0.16;160;1100;0.038;;0.4;0.56;0;180;0.38;260;15;0.78;;;0;0;;
85004;35;16;2.6;39;0.29;;730;0.028;;0.67;0.29;0.0001;110;0.41;350;12;0.74;;;0.0003;0.0001;;
86001;31;10;1.8;29;0.21;43;610;0.49;;0.19;0.32;0.0034;69;0.39;280;9.9;0.71;;;0;0.0005;;
86002;140;5.8;12;120;0.39;81;780;0.37;;0.38;0.21;0.0043;240;0.38;300;30;0.75;;;0;0;;
88001;59;8.7;2.5;59;0.24;;420;0.69;;0.099;0.22;;74;0.29;150;22;0.62;;;0.0002;0;;
89002;51;170;4.7;130;0.16;;1100;0.073;0.0017;0.49;0.4;0.0037;150;0.38;280;14;0.79;;;0;0;;
89003;251;69;23;460;0.22;;1100;0.1;0.0046;0.4;0.46;0.0017;170;0.36;250;35;0.79;;;0;0;;
89004;36;45;3;46;0.2;;990;0.065;0.011;0.6;0.31;0.0076;230;0.36;330;13;0.79;;;0;0;;
89005;48;57;4.8;190;0.19;;1100;0.35;0.0005;0.26;0.36;0.0007;260;0.37;300;18;0.79;;;0;0;;
89006;32;51;1.9;17;0.52;;430;0.55;;0.2;0.14;;120;0.3;180;11;0.75;;;0;0;;
89007;24;46;1.6;48;0.21;;510;0.61;;0.17;0.21;;300;0.3;130;9.6;0.75;;;0;0;;
89008;5;180;0.45;7.2;0.29;;1100;0.27;;0.068;0.58;;300;0.38;400;3.7;0.79;;;0;0;;
89009;10;130;0.74;10;0.22;;920;0.34;;0.33;0.31;;300;0.38;260;6.4;0.79;;;0;0;;
90003;69;3.6;6.5;130;0.26;120;1300;0.078;;0.25;0.55;0.0017;290;0.43;440;21;0.81;;;0.0009;0.0006;;
91002;1252;12;60;1300;0.39;;1200;0.13;0.0048;0.17;0.61;0.0004;330;0.39;240;82;0.83;;;0.0003;0.0001;;
91802;7;210;;;;6.3;1100;0.043;;0.074;0.71;;1;0.4;410;4.8;0.83;;;0;0;;
92001;256;3.2;21;110;0.62;;940;0.17;;0.29;0.46;;260;0.36;310;42;0.78;;;0;0;;
92002;8;19;0.58;7.5;0.19;14;750;0.38;;0.24;0.38;;200;0.36;290;7.3;0.8;;;0;0;;
92003;25;12;2.1;19;0.19;;880;0.17;;0.13;0.7;;240;0.35;280;10;0.81;;;0.0001;0;;
92004;104;5.4;7.5;58;0.3;;740;0.17;;0.28;0.53;;230;0.33;190;18;0.82;;;0;0;;
93001;138;5.6;11;200;0.26;180;1100;0.07;;0.12;0.78;0.0001;200;0.41;290;28;0.83;;;0.0001;0;;
93002;133;2;9.5;160;0.19;;1100;0.0086;;0.11;0.87;0.0002;250;0.35;260;27;0.85;;;0;0;;
94001;441;4.6;30;230;0.64;120;1000;0.037;;0.065;0.77;0.0002;5;0.36;220;47;0.83;;;0.0001;0.0001;;
94003;42;26;2.4;38;0.61;;860;0.011;;0.063;0.85;0.0036;1;0.31;200;17;0.83;;;0;0;;
95001;138;60;8.3;59;0.66;39;1100;0.0015;;0.19;0.72;;270;0.4;190;26;0.77;;;0;0;;
95002;141;4.6;7.3;130;0.24;;1100;0.039;;0.16;0.77;0.0006;340;0.37;220;23;0.77;;;0;0.0001;;
95003;31;28;1.6;19;0.23;;470;0.0011;;0.37;0.61;;210;0.31;150;13;0.8;;;0;0;;
95004;11;140;0.54;6.5;0.23;11;510;;;0.31;0.68;;24;0.47;120;8.2;0.81;;;0;0;;
95005;113;8.9;7.4;67;0.45;;800;0.045;;0.37;0.51;;270;0.33;240;23;0.85;;;0;0;;
95006;77;79;3.8;100;0.28;;920;0.0085;;0.21;0.74;;350;0.35;190;26;0.8;;;0;0;;
96001;205;23;5;130;0.27;110;570;0.18;0.0001;0.049;0.76;;1;0.3;55;28;0.69;;;0;0;;
96002;477;5.1;16;310;0.42;140;960;0.066;;0.23;0.67;;81;0.34;110;57;0.73;;;0.0001;0;;
96003;112;4.5;2.7;68;0.31;50;350;0.2;;0.043;0.73;;17;0.29;58;30;0.6;;;0;0;;
96004;105;22;7.3;150;0.2;200;850;0.013;;0.21;0.77;;51;0.35;190;14;0.85;;;0;0;;
96005;73;18;5.3;61;0.26;;910;0.0058;;0.2;0.76;;33;0.35;250;24;0.85;;;0;0;;
96006;139;28;4.1;41;0.66;;760;0.14;;0.2;0.59;;41;0.31;98;33;0.71;;;0;0;;
97002;413;30;9.1;250;0.46;110;430;0.11;0.014;0.15;0.69;0.0009;39;0.29;38;58;0.58;;;0.0001;0.0003;;
101001;58;3.7;0.49;5.9;0.6;;240;0.067;0.42;0.41;;0.077;7;0.74;85;19;0.33;0.45;0.71;0.018;0.029;0.88;0.89
101002;30;10;0.32;6.1;0.65;;190;0.069;0.51;0.35;;0.042;62;0.76;80;12;0.33;0.36;0.58;0.016;0.019;0.83;0.77
101003;16;13;0.12;1.3;0.85;;210;0.081;0.43;0.42;;0.056;44;0.89;130;9;0.33;0.48;0.81;0.018;0.028;0.19;0.16
101004;60;7.4;0.71;7.5;0.42;;240;0.069;0.42;0.41;;0.077;6;0.74;85;19;0.33;0.44;0.71;0.017;0.029;0.9;0.9
101005;23;17;0.22;5.2;0.59;;230;0.061;0.46;0.4;;0.049;31;0.71;87;12;0.33;0.46;0.69;0.015;0.019;0.74;0.89
101006;16;16;0.14;7;0.46;;240;0.091;0.39;0.43;;0.067;340;0.76;96;8.9;0.33;0.38;0.71;0.016;0.03;1;1.2
101007;9;7.4;0.17;5.9;0.28;;230;0.13;0.37;0.32;;0.17;40;0.75;73;6.8;0.33;0.76;0.86;0.1;0.097;1.2;1.1
102001;22;34;0.41;14;0.45;;100;0.074;0.062;0.85;;0.0041;160;0.45;29;11;0.45;;;0.0011;0.0007;;
105001;81;12;4.5;54;0.24;;440;0.24;;0.23;0.53;;320;0.31;110;22;0.76;;;0;0.0001;;
106001;43;37;1.7;19;0.46;;280;0.035;;0.067;0.86;;130;0.23;47;18;0.7;;;0;0;;
106002;11;13;0.69;9.8;0.18;;460;;;0.0058;0.89;;230;0.31;180;5.4;0.76;;;0;0;;
106003;14;5.5;0.65;12;0.24;16;540;;;0.05;0.94;;290;0.33;160;7.9;0.62;;;0;0;;
107001;19;28;0.49;5.2;0.39;;220;;0.013;0.34;0.65;0.0005;270;0.3;70;9.4;0.56;;;0.0001;0;;
201002;158;61;5.3;89;0.3;66;410;0.082;0.028;0.72;0.16;0.014;85;0.42;74;27;0.62;-0.002;;0.0044;0.0006;;
201005;277;66;6.8;140;0.46;89;520;0.031;0.023;0.78;0.15;0.015;230;0.51;64;39;0.64;-2;;0.021;0.0034;0.52;
