"Station_1";"Station_2";"Media";"Max";"Min";"lag0";"lag1";"lag2";"lag3";"lag4";"lag5";"lag5_10";"lag10"
10001;34002;36;325;1;0;1;0;0;0;1;15;1
10001;34003;44,5;325;6;0;0;0;0;0;0;20;1
10001;34004;29;288;0;1;1;1;0;0;0;17;0
10001;34005;38,5;260;1;0;1;0;0;0;0;15;1
10001;34007;25;292;1;0;2;1;0;0;0;11;0
10001;34008;58;325;7;0;0;0;0;0;0;15;0
10001;34011;27;248;1;0;1;0;0;0;0;14;1
10001;35003;25;325;1;0;1;0;2;1;0;13;1
10001;35004;45;307;1;0;1;1;0;0;0;13;0
10001;36001;283,5;353;6;0;0;0;0;0;0;26;1
10001;36002;55;252;1;0;1;0;0;0;0;14;0
10001;36003;32,5;245;1;0;1;0;0;0;0;15;1
10001;36005;57;258;1;0;1;1;0;0;0;15;0
10001;36006;42;250;0;1;1;0;0;0;0;14;0
10001;36007;55;251;1;0;1;0;1;0;0;13;0
10001;36008;58;330;1;0;1;0;0;0;1;13;1
10001;37001;69;333;1;0;1;0;0;0;0;23;1
10001;37003;57;300;0;1;1;0;0;0;0;14;0
10001;37005;54;251;1;0;1;1;0;0;0;15;0
10001;37006;62;306;2;0;0;2;0;0;0;14;1
10001;37007;57;245;2;0;0;1;0;0;0;14;0
10001;37009;57;251;1;0;1;0;1;0;0;15;1
10001;37010;54;244;1;0;1;1;0;0;0;13;0
10001;37013;67;237;2;0;0;1;0;0;0;14;0
10001;37021;65;306;1;0;1;0;1;0;0;13;0
10001;37031;81;237;6;0;0;0;0;0;0;18;1
10001;38001;59;349;1;0;1;0;0;1;0;29;2
10001;38002;71;334;1;0;1;0;1;0;0;25;1
10001;38003;130;306;9;0;0;0;0;0;0;20;0
10001;38004;51,5;178;1;0;1;0;1;0;0;14;2
10001;38007;118;271;3;0;0;0;1;0;0;22;0
10001;38013;125;306;33;0;0;0;0;0;0;17;0
10001;38022;137;250;32;0;0;0;0;0;0;20;0
10001;39001;42;305;3;0;0;0;1;0;0;25;0
10001;39002;67;315;1;0;1;1;1;0;0;24;0
10001;39003;103;302;14;0;0;0;0;0;0;22;0
10001;39004;124;306;3;0;0;0;1;0;0;23;0
10001;39006;56;305;0;1;1;0;1;1;0;18;0
10001;39007;40;324;8;0;0;0;0;0;0;21;2
10001;39008;40;305;1;0;2;1;0;1;0;16;0
10001;39010;71;334;10;0;0;0;0;0;0;22;1
10001;39012;130,5;250;5;0;0;0;0;0;1;19;0
10001;39015;66;350;2;0;0;1;0;0;0;13;0
10001;39016;80,5;324;10;0;0;0;0;0;0;16;2
10001;39019;68;249;6;0;0;0;0;0;0;16;0
10001;39020;64;303;4;0;0;0;0;1;0;14;0
10001;39022;62;306;9;0;0;0;0;0;0;12;0
10001;39023;158;307;32;0;0;0;0;0;0;15;0
10001;39024;70,5;334;1;0;2;1;0;0;1;10;0
10001;39033;136,5;324;29;0;0;0;0;0;0;18;0
10001;39052;65;306;4;0;0;0;0;1;0;18;1
10001;39053;88;350;4;0;0;0;0;1;0;13;0
10001;39093;82;306;9;0;0;0;0;0;0;24;0
10001;39095;162,5;303;59;0;0;0;0;0;0;14;0
10001;40003;26;323;1;0;1;0;1;0;0;19;1
10001;40005;25;183;1;0;1;0;1;0;1;16;2
10001;40006;73;176;2;0;0;1;0;0;0;15;0
10001;40007;25;182;1;0;1;1;0;0;0;12;0
10001;40008;67;321;2;0;0;1;0;0;0;15;1
10001;40009;53;308;6;0;0;0;0;0;0;13;0
10001;40010;65;324;8;0;0;0;0;0;0;13;1
10001;40012;65;294;1;0;1;0;0;0;0;14;0
10001;41005;40,5;182;1;0;1;1;0;0;0;12;0
10001;42005;70;311;11;0;0;0;0;0;0;22;0
10001;42006;54;334;1;0;1;0;1;0;0;17;0
10001;42010;58;278;1;0;1;0;0;0;0;16;0
10001;43004;41;317;1;0;1;0;1;0;0;13;0
10001;45001;80;306;2;0;0;1;0;0;0;16;0
10001;45002;80,5;306;15;0;0;0;0;0;0;16;0
10001;45003;45;306;1;0;3;1;0;1;0;11;0
10001;45005;52;306;1;0;1;0;1;1;0;13;0
10001;46002;53;324;1;0;2;0;0;1;0;14;0
10001;46003;61;324;6;0;0;0;0;0;0;18;0
10001;46005;80,5;324;13;0;0;0;0;0;0;14;0
10001;47001;109;312;3;0;0;0;1;1;0;15;0
10001;47004;257,5;322;2;0;0;1;0;0;0;13;0
10001;47005;186;329;4;0;0;0;0;1;0;13;0
10001;47007;42,5;353;5;0;0;0;0;0;1;13;0
10001;49001;96,5;353;0;1;0;0;1;0;0;16;0
10001;49002;50,5;336;1;0;1;0;1;0;0;14;2
10001;50001;101;312;1;0;1;0;0;0;0;15;0
10001;52003;47;317;1;0;4;1;0;0;0;10;0
10001;52005;47;317;0;1;2;1;0;0;0;13;0
10001;53001;76;325;1;0;1;2;0;1;0;22;0
10001;53003;67;334;1;0;1;0;1;0;0;13;1
10001;53004;45;319;2;0;0;2;0;0;0;14;0
10001;53005;80,5;341;6;0;0;0;0;0;0;14;0
10001;53006;76;325;1;0;2;0;0;0;0;12;0
10001;53008;57;302;1;0;1;0;0;0;0;13;0
10001;53020;75;302;8;0;0;0;0;0;0;15;0
10001;54001;141;311;4;0;0;0;0;1;1;29;0
10001;54002;93;305;0;1;1;0;0;0;1;23;0
10001;54004;163;318;1;0;1;0;0;0;1;17;0
10001;54005;135;309;7;0;0;0;0;0;0;23;0
10001;54006;119;307;1;0;1;0;0;0;0;18;0
10001;54007;77;342;1;0;2;0;0;0;0;15;0
10001;54008;68,5;307;1;0;3;0;0;1;0;16;0
10001;54010;71,5;300;0;1;0;0;0;0;1;16;0
10001;54011;62,5;342;1;0;2;0;0;0;0;16;0
10001;54012;59;309;0;2;0;0;0;0;0;15;1
10001;54014;98;285;6;0;0;0;0;0;0;14;0
10001;54016;59;309;0;1;1;0;0;0;0;15;1
10001;54017;46;260;0;1;1;0;0;1;0;10;0
10001;54019;45,5;261;0;2;1;0;0;0;0;13;1
10001;54020;88,5;309;0;1;2;0;0;0;0;11;0
10001;55001;67;304;0;1;0;1;1;2;0;12;0
10001;55002;111;307;2;0;0;1;1;1;0;24;0
10001;55003;74;274;0;3;0;0;1;1;1;20;1
10001;55004;94;307;4;0;0;0;0;1;0;25;0
10001;55005;83;285;1;0;1;0;1;1;0;14;0
10001;55007;162,5;311;2;0;0;1;2;0;0;23;0
10001;55008;96,5;290;8;0;0;0;0;0;0;20;0
10001;55009;34,5;282;1;0;1;1;2;0;0;10;1
10001;55010;172;352;8;0;0;0;0;0;0;16;0
10001;55015;70;293;2;0;0;2;0;0;0;17;1
10001;56001;164;305;4;0;0;0;0;1;0;16;1
10001;56002;77;305;0;1;0;0;1;0;0;15;0
10001;56003;214;324;6;0;0;0;0;0;0;15;0
10001;58001;244;296;14;0;0;0;0;0;0;16;0
10001;58002;80,5;308;3;0;0;0;1;0;0;17;0
10001;60002;110;285;6;0;0;0;0;0;0;14;0
10001;60003;256;306;11;0;0;0;0;0;0;13;0
10001;6001;47;292;11;0;0;0;0;0;0;15;0
10001;60010;196;291;14;0;0;0;0;0;0;14;0
10001;61001;124;307;13;0;0;0;0;0;0;13;0
10001;61002;84;306;13;0;0;0;0;0;0;15;0
10001;62001;262,5;304;6;0;0;0;0;0;0;16;0
10001;64001;65,5;284;3;0;0;0;1;0;0;15;0
10001;66001;123,5;306;6;0;0;0;0;0;0;16;0
10001;66011;153;332;5;0;0;0;0;0;1;15;0
10001;67002;90,5;305;2;0;0;1;0;1;0;18;0
10001;67005;181;348;3;0;0;0;2;0;0;19;0
10001;67006;40;285;6;0;0;0;0;0;0;15;0
10001;67009;135;305;0;1;0;0;0;0;0;15;0
10001;67020;85;303;3;0;0;0;1;0;0;16;0
10001;68001;88;342;1;0;2;1;0;0;0;24;0
10001;68002;59;291;1;0;1;0;0;0;0;18;0
10001;68003;136;308;6;0;0;0;0;0;0;23;0
10001;68004;112;342;2;0;0;1;0;0;0;16;0
10001;68005;108,5;342;0;1;1;0;0;0;0;24;0
10001;68006;45,5;294;1;0;1;0;0;1;0;16;0
10001;68007;64;308;6;0;0;0;0;0;0;14;0
10001;68018;33;246;1;0;2;0;0;1;0;14;0
10001;69001;112;345;1;0;1;0;0;0;0;24;0
10001;69002;60,5;308;6;0;0;0;0;0;0;26;0
10001;69003;147;340;6;0;0;0;0;0;0;17;0
10001;69006;78;309;2;0;0;1;0;0;0;21;0
10001;69007;70,5;337;6;0;0;0;0;0;0;16;0
10001;69023;60;308;6;0;0;0;0;0;0;23;0
10001;69024;65,5;308;6;0;0;0;0;0;0;22;0
10001;69027;81,5;333;9;0;0;0;0;0;0;20;0
10001;7001;133,5;303;31;0;0;0;0;0;0;14;0
10001;7002;116,5;284;23;0;0;0;0;0;0;16;0
10001;7003;41,5;238;0;1;1;0;0;0;0;14;0
10001;71001;75,5;288;14;0;0;0;0;0;0;16;0
10001;71004;156;301;28;0;0;0;0;0;0;14;0
10001;72002;146;306;23;0;0;0;0;0;0;13;0
10001;72803;267;349;6;0;0;0;0;0;0;23;1
10001;72807;94;300;1;0;1;0;0;0;0;18;0
10001;73001;48,5;340;2;0;0;1;0;0;0;17;0
10001;75002;245;341;3;0;0;0;1;0;0;15;0
10001;76002;61,5;313;4;0;0;0;0;1;0;17;0
10001;76003;73,5;341;3;0;0;0;1;0;0;15;0
10001;76004;79;341;13;0;0;0;0;0;0;15;0
10001;76005;68;313;13;0;0;0;0;0;0;13;0
10001;77001;203;289;17;0;0;0;0;0;0;16;0
10001;77002;195;311;17;0;0;0;0;0;0;15;0
10001;78004;135,5;311;5;0;0;0;0;0;1;15;0
10001;79002;71,5;311;0;1;0;0;1;0;0;16;0
10001;79003;150;363;3;0;0;0;1;0;0;14;0
10001;79004;167;340;17;0;0;0;0;0;0;15;0
10001;79005;215;341;4;0;0;0;0;1;0;13;0
10001;8001;73,5;283;0;2;0;0;0;0;0;14;0
10001;8002;61;326;1;0;1;0;0;0;0;17;1
10001;8004;113;265;0;1;0;0;0;0;1;19;0
10001;8005;69;326;1;0;1;0;0;0;0;18;1
10001;8006;101,5;260;0;2;0;0;0;0;0;18;0
10001;8007;65;326;9;0;0;0;0;0;0;18;1
10001;8008;102;326;9;0;0;0;0;0;0;19;0
