"River_St_1";"River_St_2";"KendalT value";"KendalT p.value";"ALL STATUS";"N_ties Station1";"N_ties Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_ Asyncrony";"KT_pvalue_Asy";"ASY STATUS";"KT_ Syncrony";"KT_pvalue_Sy";"SY STATUS";"Easting_1";"Northing_1";"Easting_2";"Northing_2"
;;"0.238095238095238";"0.239458815685833";"IND";"0";"0";"15";"0";"10001";"22007";"3";"12";;;;;;;"392436";"830912";"417458";"585790"
;;"-0.178947368421053";"0.288378196376409";"IND";"0";"0";"20";"0";"10001";"23001";"1";"19";"-0.134502923976608";"0.446734867467029";"IND";;;;"392436";"830912";"403858";"561700"
;;"0.216666666666667";"0.26504598877832";"IND";"0";"0";"16";"0";"10001";"23003";"1";"15";"0.180952380952381";"0.379450395962797";"IND";;;;"392436";"830912";"390555";"573231"
;;"0.205128205128205";"0.3674042836022";"IND";"0";"0";"13";"0";"10001";"23005";"0";"13";;;;;;;"392436";"830912";"377647";"586133"
;;"0.0512820512820513";"0.857733751909099";"IND";"0";"0";"13";"0";"10001";"23006";"1";"12";;;;;;;"392436";"830912";"367216";"561064"
;;"-0.064327485380117";"0.730032726991004";"IND";"0";"0";"19";"0";"10001";"24002";"2";"17";"-0.0882352941176471";"0.655307580247611";"IND";;;;"392436";"830912";"421400";"530700"
;;"0.257142857142857";"0.201842824225182";"IND";"0";"1";"15";"0";"10001";"24003";"1";"14";;;;;;;"392436";"830912";"398366";"539040"
;;"0.161904761904762";"0.435118910932114";"IND";"0";"0";"15";"0";"10001";"24004";"2";"13";;;;;;;"392436";"830912";"411799";"532192"
;;"-0.105263157894737";"0.542422144891093";"IND";"0";"0";"20";"0";"10001";"24005";"4";"16";"-0.15";"0.450284886272046";"IND";;;;"392436";"830912";"425904";"538688"
;;"-0.0980392156862745";"0.600931133222836";"IND";"0";"0";"18";"0";"10001";"25001";"2";"16";"-0.0333333333333333";"0.894351259969982";"IND";;;;"392436";"830912";"425923";"513748"
;;"0.0760233918128655";"0.678725190577802";"IND";"0";"0";"19";"0";"10001";"25004";"4";"15";"0.180952380952381";"0.379450395962797";"IND";;;;"392436";"830912";"428399";"512942"
;;"0.176470588235294";"0.348846402901288";"IND";"0";"1";"17";"0";"10001";"25005";"3";"14";;;;;;;"392436";"830912";"444431";"512072"
;;"-0.0333333333333333";"0.894351259969982";"IND";"0";"0";"16";"0";"10001";"25006";"2";"14";;;;;;;"392436";"830912";"403361";"512209"
;;"0.05";"0.824801238706967";"IND";"0";"1";"16";"0";"10001";"26001";"0";"16";"0.05";"0.824801238706967";"IND";;;;"392436";"830912";"506400";"456000"
;;"0.0849673202614379";"0.654028880176757";"IND";"0";"0";"18";"0";"10001";"26002";"2";"16";"0.0833333333333333";"0.69009504051413";"IND";;;;"392436";"830912";"507957";"449913"
;;"0.124183006535948";"0.500867331358937";"IND";"0";"1";"18";"0";"10001";"26003";"1";"17";"0.102941176470588";"0.59764393154434";"IND";;;;"392436";"830912";"509358";"454867"
