"CODE";"KendalT.value";"KendalT.p.value";"N_ties.Station1";"N_ties.Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_.Asyncrony";"KT_pvalue_Asy";"KT_.Syncrony";"KT_pvalue_Sy";"Easting_1";"Northing_1";"Easting_2";"Northing_2";"Distance";"Area_1";"Area_2"
96;"0.347368421052632";"0.0336439472421612";"0";"0";20;"0";"10001";"33009";"3";"17";"0.294117647058824";"0.108864594807745";;;"392436";"830912";"494993";"256463";"583728.256976223";"448.1";"1320"
111;"0.0315789473684211";"0.872841459863942";"0";"0";20;"0";"10001";"34003";"5";"15";"-0.0476190476190476";"0.845841042458974";;;"392436";"830912";"619214";"329614";"550306.521172522";"448.1";"164.7"
112;"0.105263157894737";"0.542422144891093";"0";"1";20;"0";"10001";"34004";"7";"13";;;;;"392436";"830912";"617682";"312740";"565115.014435096";"448.1";"570.9"
119;"0.107692307692308";"0.45743986455663";"0";"2";26;"0";"10001";"36001";"2";"24";"0.0507246376811594";"0.749761450490796";;;"392436";"830912";"604200";"234000";"633492.907415902";"448.1";"844.3"
126;"-0.152173913043478";"0.312759419656759";"0";"1";24;"0";"10001";"37001";"6";"18";"-0.0849673202614379";"0.654028880176757";;;"392436";"830912";"541499";"188348";"659820.511566312";"448.1";"303.3"
136;"-0.0494623655913978";"0.710775182875307";"0";"0";31;"0";"10001";"38001";"6";"25";"-0.0866666666666667";"0.563078572726851";;;"392436";"830912";"539074";"209193";"638966.6716566";"448.1";"1036"
137;"0.133903133903134";"0.340954856586099";"0";"1";27;"0";"10001";"38002";"7";"20";"0.147368421052632";"0.385857151315126";;;"392436";"830912";"539360";"214840";"633536.283686408";"448.1";"78.7"
138;"0.0526315789473684";"0.773219474906323";"0";"1";20;"0";"10001";"38003";"1";"19";"0.0526315789473684";"0.782541589012256";;;"392436";"830912";"528256";"213276";"632587.455823492";"448.1";"133.9"
140;"-0.0434782608695652";"0.794034211718078";"0";"1";23;"0";"10001";"38007";"2";"21";"-0.0666666666666667";"0.698188279094312";;;"392436";"830912";"543166";"210394";"638748.304272306";"448.1";"21.4"
142;"0.157894736842105";"0.35139485817328";"0";"0";20;"0";"10001";"38022";"0";"20";"0.157894736842105";"0.35139485817328";;;"392436";"830912";"534050";"192540";"654087.718094106";"448.1";"42.6"
143;"-0.04";"0.793463499509056";"0";"0";26;"0";"10001";"39001";"4";"22";"-0.0562770562770563";"0.738094048447956";;;"392436";"830912";"517780";"169850";"673053.756297902";"448.1";"9948"
144;"0.116809116809117";"0.40798271640297";"0";"2";27;"0";"10001";"39002";"4";"23";"0.075098814229249";"0.638196884577469";;;"392436";"830912";"456880";"193620";"640771.897943335";"448.1";"3444.7"
145;"0.168831168831169";"0.287616758255245";"0";"0";22;"0";"10001";"39003";"0";"22";"0.168831168831169";"0.287616758255245";;;"392436";"830912";"526555";"170541";"674060.961403712";"448.1";"176.1"
146;"-0.0869565217391304";"0.572230825296128";"0";"0";24;"0";"10001";"39004";"1";"23";"-0.075098814229249";"0.638196884577469";;;"392436";"830912";"529630";"165480";"679635.290888705";"448.1";"122"
147;"0.264069264069264";"0.0907990764279527";"0";"1";22;"0";"10001";"39006";"5";"17";"0.147058823529412";"0.43968652710486";;;"392436";"830912";"440179";"201858";"631093.379989448";"448.1";"362.6"
148;"0.019047619047619";"0.928740741261735";"0";"0";21;"0";"10001";"39007";"4";"17";"0.0735294117647059";"0.715031775293832";;;"392436";"830912";"473090";"164780";"671232.291433345";"448.1";"354.8"
149;"0.0842105263157895";"0.630798946258977";"0";"1";20;"0";"10001";"39008";"5";"15";"-0.0476190476190476";"0.845841042458974";;;"392436";"830912";"444499";"208703";"624610.375413364";"448.1";"1616.2"
150;"-0.00432900432900433";"1";"0";"3";22;"0";"10001";"39010";"1";"21";"0";"1";;;"392436";"830912";"505180";"186360";"654553.043693097";"448.1";"743"
151;"0.168421052631579";"0.31889648047195";"0";"2";20;"0";"10001";"39012";"1";"19";"0.192982456140351";"0.266898773400104";;;"392436";"830912";"518192";"168783";"674178.959458223";"448.1";"69.1"
162;"0";"1";"0";"0";24;"0";"10001";"39093";"1";"23";"0.0197628458498024";"0.916846744693041";;;"392436";"830912";"520194";"185052";"658582.055354592";"448.1";"117.6"
164;"0.2";"0.218597841434383";"0";"0";21;"0";"10001";"40003";"6";"15";"0.2";"0.328233587669434";;;"392436";"830912";"570865";"153033";"701148.078141884";"448.1";"1256.1"
173;"-0.0303030303030303";"0.86726698329211";"0";"4";22;"0";"10001";"42005";"0";"22";"-0.0303030303030303";"0.86726698329211";;;"392436";"830912";"431100";"133020";"699218.931935709";"448.1";"53.6"
193;"0.206153846153846";"0.146970017400666";"0";"3";26;"0";"10001";"53001";"4";"22";"0.134199134199134";"0.402030408697794";;;"392436";"830912";"390298";"164102";"667059.852607239";"448.1";"665.6"
200;"0.243010752688172";"0.0564771840442906";"0";"1";31;"0";"10001";"54001";"2";"29";"0.266009852216749";"0.0440075639415738";;;"392436";"830912";"378230";"276160";"555137.838007677";"448.1";"4325"
201;"0.12";"0.406034829291319";"0";"0";26;"0";"10001";"54002";"4";"22";"0.0995670995670996";"0.539412359520028";;;"392436";"830912";"404007";"243741";"587502.46489483";"448.1";"2210"
203;"0.209486166007905";"0.171510516970167";"0";"1";23;"0";"10001";"54005";"2";"21";"0.19047619047619";"0.242200375155393";;;"392436";"830912";"341190";"314460";"519172.058547476";"448.1";"2025"
206;"0.442105263157895";"0.00592379727137149";"0";"0";20;"0";"10001";"54008";"6";"14";;;;;"392436";"830912";"359770";"268520";"563543.977891508";"448.1";"1134.4"
216;"0.173789173789174";"0.213202556770247";"0";"1";27;"0";"10001";"55002";"4";"23";"0.162055335968379";"0.294365563602192";;;"392436";"830912";"348500";"238799";"593953.211174559";"448.1";"1895.9"
217;"0.0338461538461538";"0.827301497587117";"0";"6";26;"0";"10001";"55003";"8";"18";"-0.0588235294117647";"0.765236745754935";;;"392436";"830912";"354871";"240585";"591734.200099693";"448.1";"885.8"
218;"0.0276923076923077";"0.861456371138523";"0";"2";26;"0";"10001";"55004";"2";"24";"0.0144927536231884";"0.9413463081964";;;"392436";"830912";"289048";"246014";"594153.09499281";"448.1";"72.8"
220;"0.132307692307692";"0.35817401115929";"0";"1";26;"0";"10001";"55007";"4";"22";"0.116883116883117";"0.468000168647235";;;"392436";"830912";"307580";"244490";"592726.446300753";"448.1";"1282.1"
221;"0.0526315789473684";"0.773219474906323";"0";"0";20;"0";"10001";"55008";"1";"19";"0.0994152046783626";"0.58051795401425";;;"392436";"830912";"282900";"283800";"558142.361582706";"448.1";"10.55"
240;"0.105263157894737";"0.542422144891093";"0";"1";20;"0";"10001";"67002";"4";"16";"0.133333333333333";"0.505644437997331";;;"392436";"830912";"335630";"341310";"493059.511767998";"448.1";"1028"
241;"0.180952380952381";"0.2674910846902";"0";"1";21;"0";"10001";"67005";"3";"18";"0.163398692810458";"0.368580540875301";;;"392436";"830912";"329503";"337318";"497762.734675608";"448.1";"113.7"
245;"0.247863247863248";"0.0727540101027433";"0";"2";27;"0";"10001";"68001";"3";"24";"0.202898550724638";"0.174331021264942";;;"392436";"830912";"367171";"363507";"468258.053069239";"448.1";"622"
247;"0.177865612648221";"0.24828475995312";"0";"0";23;"0";"10001";"68003";"1";"22";"0.177489177489178";"0.262753166001894";;;"392436";"830912";"366758";"371800";"459997.167256959";"448.1";"407.1"
249;"0.261538461538462";"0.0636539670924661";"0";"1";26;"0";"10001";"68005";"2";"24";"0.239130434782609";"0.107397355848434";;;"392436";"830912";"365254";"343040";"488806.563971743";"448.1";"207"
253;"0.186666666666667";"0.20115677879054";"0";"0";25;"0";"10001";"69001";"2";"23";"0.24901185770751";"0.101926080442422";;;"392436";"830912";"372760";"393550";"437964.718171117";"448.1";"679"
254;"-0.0215384615384615";"0.895866819733609";"0";"0";26;"0";"10001";"69002";"1";"25";"-0.04";"0.799348102121023";;;"392436";"830912";"382419";"398759";"432428.30105471";"448.1";"559.4"
