;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
6209;41521;Dove;Roch;0.349206349;0.008751089;2;0;28;2;0;28008;69023;12;16;0.429;0.083;0.690;NA;NA;NA;411240.000;339670.000;380690.000;407740.000;74.639;399.000;186;28,5;354;0;8;1;0;0;1;0;0;1;1;0;0;1;0.594222216;0.533834586;0.26744186;0.333333333;0.090909091;0.14516129;0.174418605;0.127272727;0.25;0.552631579;0.395061728;0.835164835;0.907692308;0.318181818;0.107142857;0.154545455;0.37037037;0.280701754;NA;0.223529412;0.971666667;0.954375;NA;0.19047619;74.63873511;1;0.166666667;0.166666667;0.273809524;0.259259259;0.100858369
6243;41603;Trent;Dove;0.454545455;0.001983032;0;1;23;2;0;28009;28018;11;12;0.478;NA;NA;NA;NA;NA;462010.000;339960.000;423740.000;328840.000;39.867;7486.000;883.2;12;346;1;0;6;3;0;0;2;0;0;0;0;0;0;0.000321222;0.882046487;0.659574468;0.833333333;0.826530612;0.046875;0.744186047;0.140625;0.064935065;0.555555556;0.418918919;0.2;0.784210526;0.1875;0.037735849;0.413043478;0.45;0.261904762;0.2375;0.144444444;0.881818182;0.86;0.1;0.1;39.86663455;NA;0.191489362;0.180851064;0.608695652;0.428571429;0.189710611
6247;41624;Trent;Witham;0.489230769;0.000305013;0;1;26;2;0;28009;30001;12;14;0.462;NA;NA;NA;NA;NA;462010.000;339960.000;484200.000;347960.000;23.595;7486.000;297.9;17,5;293;0;2;4;2;2;0;0;1;0;0;1;0;1;0.066397787;0.960192359;0.058823529;0.977380952;0.967346939;0.072463768;0.962790698;0.75;0.013888889;0.55;0.465116279;0.946666667;0.526315789;0.784615385;0.13559322;0.444444444;0.66875;0.129032258;0.2125;0.1;0.753246753;0.65;0.12;0.06;23.5952359;NA;0.184210526;0.181818182;0.055555556;0.241666667;0.770096463
6248;41625;Trent;Bain;0.41991342;0.005759277;0;0;22;2;0;28009;30003;8;14;0.364;NA;NA;NA;NA;NA;462010.000;339960.000;524080.000;360970.000;65.546;7486.000;197.1;39;342;0;2;2;1;1;0;0;0;0;1;1;0;2;0.066460021;0.973684211;0.375;0.98452381;0.969387755;0.078125;0.962790698;0.765625;0.430555556;0.649350649;0.651162791;0.993333333;0.847368421;0.380952381;0.328947368;0.277777778;0.7375;0.064516129;0.3375;0.211111111;0.844155844;0.912;0.26;0.36;65.54649513;NA;0.118421053;0.090909091;0.472222222;0.333333333;0.774115756
6266;41649;Trent;Kym;0.398550725;0.005915006;0;1;24;2;0;28009;33012;8;16;0.333;0.283;0.139;NA;NA;NA;462010.000;339960.000;515607.000;263134.000;93.700;7486.000;137.5;32;292;0;2;0;3;1;0;0;1;0;1;0;0;1;0.151550951;0.981565589;0.058823529;0.992619048;0.97755102;0.59375;0.960465116;0.84375;0.208333333;0.64;0.581395349;NA;0.894736842;0.330769231;0.392156863;0.518518519;0.80625;0.225806452;0.525;0.355555556;0.903896104;0.927;0.11;0.11;93.6996796;1;0.223684211;0.207792208;0;0.475;0.868167203
6277;41675;Trent;Bure;0.427536232;0.002989416;0;0;24;2;0;28009;34003;8;16;0.333;0.433;0.020;NA;NA;NA;462010.000;339960.000;619214.000;329614.000;157.560;7486.000;164.7;36,5;331;0;1;1;2;1;0;0;1;0;1;0;1;2;0.176278564;0.977958857;0.25;0.986904762;0.983673469;0.228915663;0.98744186;0.84375;0.345454545;0.64;0.720930233;NA;0.9;0;0.346153846;0.574074074;0.8375;0;0.475;0.333333333;0.844155844;0.933;0;0.01;157.5602901;1;0.118421053;0.103896104;0.333333333;0.6;0.8585209
6278;41676;Trent;Wensum;0.471861472;0.001712677;0;0;22;2;0;28009;34004;10;12;0.455;NA;NA;NA;NA;NA;462010.000;339960.000;617682.000;312740.000;158.051;7486.000;570.9;16;331;0;1;6;0;0;0;1;1;0;1;0;0;1;0.176302788;0.923724285;0.675;0.951190476;0.962244898;0.146666667;NA;0.85;0.2;0.635135135;0.674418605;0.98;0.836842105;0.384615385;0.260869565;0.611111111;0.50625;0.032258065;0.2625;0.166666667;0.766233766;0.87;0.04;0.09;158.0506111;NA;0.118421053;0.12987013;0.705555556;0.583333333;0.854180064
6293;41709;Trent;Sandon Brook;0.514285714;0.000797418;0;0;21;2;0;28009;37013;6;15;0.286;0.505;0.008;NA;NA;NA;462010.000;339960.000;575534.000;205471.000;176.030;7486.000;75.1;52;341;2;0;0;1;0;1;0;1;0;1;1;1;3;0.24326588;0.989981298;0.2;0.996428571;0.982653061;0.453125;0.979069767;0.828125;0.172413793;0.534482759;0.534883721;NA;0.6;0.746153846;0.450980392;0.555555556;0.89375;0.096774194;0.3125;0.111111111;0.766233766;0.74;0.07;0.02;176.0296013;1;0.236842105;0.233766234;0.1;0.558333333;0.855305466
6294;41710;Trent;Roding;0.463157895;0.003782665;0;0;20;2;0;28009;37014;7;13;0.350;NA;NA;NA;NA;NA;462010.000;339960.000;556172.000;204100.000;165.337;7486.000;95.1;30;294;1;0;1;2;0;0;1;1;0;2;0;0;2;0.243286324;0.987309645;0.609756098;0.993809524;0.982653061;0.46875;0.974418605;0.828125;0.194444444;0.653846154;0.720930233;NA;0.842105263;0;0.215686275;0.666666667;0.80625;0;0.4875;0.366666667;0.888311688;0.924;0.02;0.090909091;165.3366565;NA;0.210526316;0.207792208;0.56097561;0.375;0.889067524
6296;41715;Trent;Crouch;0.422924901;0.004244768;0;1;23;2;0;28009;37031;4;19;0.174;0.345;0.041;NA;NA;NA;462010.000;339960.000;574811.000;193386.000;184.988;7486.000;71.8;55;342;0;1;0;0;1;0;0;1;0;0;1;0;1;0.243633712;0.990382046;0.6375;0.995952381;0.978571429;0.578125;0.969767442;0.8125;0.28;0.129032258;0.511627907;NA;0.5;0.338461538;0.568627451;0.444444444;0.9;0.129032258;0.0375;0.011111111;0.45;0.583333333;0;0.01;184.9884074;1;0.25;0.233766234;0.677777778;0.733333333;0.816398714
6356;41853;Trent;Leadon;0.506493506;0.000691698;0;0;22;2;0;28009;54017;9;13;0.409;NA;NA;NA;NA;NA;462010.000;339960.000;377664.000;223340.000;143.977;7486.000;293;21;336;0;1;3;1;2;2;0;0;0;0;0;0;0;0.481478053;0.960860273;0.43125;0.973809524;0.867346939;0.265625;0.886046512;0.5;0.446153846;0.27027027;0.044444444;NA;0.836842105;0.153846154;0.105263158;0.1;0.74375;0.060606061;0.325;0.177777778;0.844155844;0.901;0.02;0.03;143.9768396;NA;0.092105263;0.077922078;0.472222222;0.45;0.500803859
6365;41900;Trent;Cothi;0.442105263;0.005923797;0;0;20;2;0;28009;60002;8;12;0.400;NA;NA;NA;NA;NA;462010.000;339960.000;250870.000;222490.000;241.691;7486.000;297.8;70;324;1;0;1;2;1;1;0;0;1;0;2;0;2;0.533198893;0.960192359;0;0.857142857;0.704081633;0.328125;0.581395349;0.25;0.657142857;0.937037037;0.410958904;0.444444444;0.926315789;0.277777778;0.019607843;0.682352941;0.66875;0.446428571;1;NA;0.997402597;0.992;NA;NA;241.6909584;NA;0.525;0.51875;0.1;0.47826087;0.260450161
6372;41918;Trent;Weaver;0.376811594;0.00953441;0;1;24;2;0;28009;68001;8;16;0.333;0.400;0.033;NA;NA;NA;462010.000;339960.000;367171.000;363507.000;97.754;7486.000;622;18,5;342;0;1;3;2;0;0;0;0;0;1;0;1;2;0.588108998;0.916911568;0;0.933333333;0.913265306;0.15625;0.890697674;0.640625;0.305555556;0.111111111;0.317460317;0.96;0.642105263;0.9;0;0.444444444;0.59375;0.088235294;0.1;0.088888889;0.701298701;0.73;0.24;0.24;97.75351986;1;0.039473684;0;0.055555556;0.375;0.65755627
6451;42184;Derwent;Wye;0.383244207;0.001205153;6;3;34;2;0;28010;55002;16;18;0.471;0.085;0.654;NA;0.700;0.000;435600.000;336300.000;348500.000;238799.000;130.787;1054.000;1895.9;13;322;0;10;5;1;0;0;0;0;0;0;0;0;0;0.490745791;0.444092827;0.043478261;NA;NA;NA;0.641025641;0.146666667;0.253846154;0.31;0.126760563;0.211764706;0.851351351;0;0.145454545;0.076923077;0.43125;0.22;NA;NA;0.882352941;0.906451613;NA;NA;130.7869832;1;0.166666667;0.230769231;0.156862745;0.133333333;0.145922747
