"","CODE","River_St_1","River_St_2","KendalT.value","KendalT.p.value","N_ties.Station1","N_ties.Station2","Number_data","X","R_Ties_sum","ID_Station_1","ID_Station_2","Num_Syncr_occ","Num_Asyncr_occ","N.SY.N.ALL","KT_.Asyncrony","KT_pvalue_Asy","X.1","KT_.Syncrony","KT_pvalue_Sy","Easting_1","Northing_1","Easting_2","Northing_2","Distance.x","Area_1","Area_2","Media","Max","Min","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","lag710","Station.number","Catchment.area","Station.level","Mean.GDF","Maximum.GDF","Base.flow.index","QMED","Maximum.altitude","Woodland","Arable.horticultural","Grassland","Mountain.heath.bog","Urban.extent","ASPBAR..Â..","BFIHOST....","DPSBAR..m.km.","LDP..km.","PROPWET","URBCON1990","URBCON2000","URBEXT1990","URBEXT2000","URBLOC1990","URBLOC2000","Distance.y","Class","SAAR_61.90","SAAR_41.70","Min.Altitude","X50.Altitude","Max.Min.Altitude"
"9",48,"Ythan","Nidd",0.390769231,0.004691266,0,1,26,2,0,10001,27001,4,22,0.153846154,0.333333333,0.030888794,1,NA,NA,392436,830912,442802,452991,381.4011969,448.1,484.3,"112,5",308,0,1,1,0,0,0,0,1,0,0,1,0,1,0.629606310877375,0.0743801652892562,0.583333333333333,0.116883116883117,0.7625,0.333333333333333,0.583333333333333,0.457142857142857,0.151162790697674,0.660714285714286,0.32,0.85,0.818181818181818,0.225,0.327868852459016,0.24,0.315789473684211,0.119047619047619,NA,NA,0.972,0.959375,NA,NA,381.4011969,"Depind",0.135416666666667,0.11340206185567,0.636842105263158,0.3125,0.452129221732746
"11",50,"Ythan","Don",0.547368421,0.000480575,0,0,20,2,0,10001,27006,2,18,0.1,0.529411765,0.001670313,NA,NA,NA,392436,830912,438931,390954,442.5695689,448.1,373,"100",262,6,0,0,0,0,0,0,1,0,1,0,0,1,0.629674887062134,0.167410714285714,0.75,0.25,0.7,0.319444444444444,0.425287356321839,0.296296296296296,0.54375,0.889285714285714,0.0555555555555555,0.889473684210526,0.94,0.391666666666667,0.311475409836066,0.481818181818182,0.0192307692307693,0.119047619047619,NA,NA,0.993636363636364,0.99,NA,NA,442.5695689,"2",0.17,0.14,0.784375,0.576923076923077,0.265551181102362
"13",55,"Ythan","Don",0.365517241,0.004174921,0,0,30,2,0,10001,27021,6,24,0.2,0.304347826,0.038521552,1,NA,NA,392436,830912,456977,403973,431.9447165,448.1,1256.2,"68,5",310,1,0,1,1,0,0,0,0,1,1,1,1,3,0.629880463343325,0.643312101910828,0.413333333333333,0.575,0.816129032258065,0.208333333333333,0.705882352941176,0.296296296296296,0.513333333333333,0.589285714285714,0.147058823529412,0.631578947368421,0.953846153846154,0.358333333333333,0.19672131147541,0.25974025974026,0.373493975903614,0.19047619047619,NA,NA,0.994166666666667,0.99,NA,NA,431.9447165,"Depind",0.036144578313253,0.0697674418604651,0.231884057971015,0.0833333333333334,0.302225547035721
"68",260,"Ythan","Tame",0.494736842,0.001839701,0,2,20,2,0,10001,69027,1,19,0.05,0.450292398,0.00656594,NA,NA,NA,392436,830912,390699,391870,439.2076744,448.1,150,"81,5",333,9,0,0,0,0,0,0,0,0,0,1,0,1,0.855114665275907,0.665178571428571,0.825581395348837,0.397058823529412,0.0806451612903226,0.236111111111111,0.193548387096774,0.344827586206897,0.391666666666667,0.980357142857143,0,0.908695652173913,0.952,0.538461538461538,0.39344262295082,0.525,0.0769230769230769,0.222222222222222,NA,NA,0.993636363636364,0.991333333333333,NA,NA,439.2076744,"1",0.308333333333333,0.283333333333333,0.8275,0.541666666666667,0.309074074074074
"74",796,"Dee","Tay",0.556923077,2.9e-05,1,0,26,2,0,12001,15003,13,13,0.5,NA,NA,NA,NA,NA,363482,795613,308289,739575,78.67937148,1370,3210,"10",360,0,3,6,0,0,0,0,1,2,1,0,0,1,0.200093314670399,0.573208722741433,0.492957746478873,0.735714285714286,0.48,0.171875,0.488372093023256,0.0769230769230769,0.1875,0.808571428571429,0.454545454545455,0.2,0.6,0.225,0.137254901960784,0,0.0833333333333334,0.101449275362319,NA,NA,0.285714285714286,0.3,NA,NA,78.67937148,NA,0.3125,0.25,0.492957746478873,0.137254901960784,0.0528885272579332
"211",1145,"Dee","Frome (Bristol)",-0.526315789,0.00084083,1,0,20,2,0,12001,53006,3,17,0.15,-0.514705882,0.003345662,NA,NA,NA,363482,795613,363753,177202,618.63006,1370,148.9,"156",331,3,0,0,0,1,0,0,1,0,0,0,1,1,0.773591668867675,0.891240875912409,0.71830985915493,0.954054054054054,0.930769230769231,0.30188679245283,0.929545454545455,0.853846153846154,0.607692307692308,0.840909090909091,0.75,NA,0.984782608695652,0.679310344827586,0.294117647058824,0.847368421052632,0.745454545454545,0.435483870967742,NA,NA,0.993055555555556,0.990909090909091,NA,NA,618.63006,"2",0.281818181818182,0.333333333333333,0.676056338028169,0.870588235294118,0.864117168429618
"258",1269,"Dee","F1horn",0.476190476,0.002083748,1,0,21,2,0,12001,7001,9,12,0.428571429,NA,NA,NA,NA,NA,363482,795613,282558,833548,89.40024817,1370,415.6,"13",246,0,4,3,1,1,0,0,0,0,0,0,0,0,0.416631947337722,0.696350364963504,0.716,0.621621621621622,0.653846153846154,0.339622641509434,0.363636363636364,0.276923076923077,0.423076923076923,NA,0.294117647058824,0.0540540540540541,NA,0.741935483870968,0.117647058823529,0.263157894736842,0.536363636363636,0.0882352941176471,NA,NA,0.6,0.8,NA,NA,89.40024817,NA,0.0833333333333334,0.142857142857143,0.716,0.0892857142857143,0.438567941415785
"280",1317,"Dee","Spey",0.550724638,8.35e-05,1,0,24,2,0,12001,8010,12,12,0.5,NA,NA,NA,NA,NA,363482,795613,303282,826785,67.81299636,1370,1748.8,"6,5",353,0,7,2,3,0,0,0,0,0,0,0,0,0,0.33255562036497,0.216695254431103,0.626315789473684,0.0263157894736842,0.384615384615385,0.086206896551724,0.454545454545455,0,0.1875,0.828571428571429,0,0,0.4,0.860215053763441,0.0588235294117647,0.157894736842105,0.0909090909090909,0.101449275362319,NA,NA,0,0.166666666666667,NA,NA,67.81299636,NA,0.0833333333333334,0,0.626315789473684,0.0980392156862745,0.096826688364524
"294",2269,"Tay","Tay",0.776344086,1.49e-12,1,1,31,2,0,15003,15006,26,5,0.838709677,NA,NA,3,0.796923077,3.76e-11,308289,739575,314750,736680,7.081880008,3210,4587.1,"0",326,0,20,4,0,0,0,0,0,2,0,0,0,0,0.000199920031987211,0.300196206671027,0.277777777777778,0.176470588235294,0.25,0.0153846153846154,0.131313131313131,0,0,0.906944444444444,0.12,0.142857142857143,0.658536585365854,0.142857142857143,0.0638297872340425,0.105263157894737,0.0769230769230769,0.159420289855073,NA,NA,0.5,0.533333333333333,NA,NA,7.081880008,"High Syn",0.125,0.125,0.388888888888889,0.0909090909090909,0.0118845500848896
"295",2270,"Tay","Tay",0.578494624,1.25e-06,1,1,31,2,0,15003,15007,28,3,0.903225806,NA,NA,3,0.634920635,3.31e-07,308289,739575,292403,753411,21.07178309,3210,1149.4,"0",276,0,20,5,2,0,0,0,0,1,0,0,0,0,0.000266542280269233,0.642056074766355,0.409836065573771,0.578571428571429,0.6,0.015625,0.593023255813953,0,0.125,0.0694444444444444,0.290322580645161,0.107142857142857,0,0.308333333333333,0,0.173913043478261,0.258333333333333,0.0142857142857143,NA,NA,0.285714285714286,0,NA,NA,21.07178309,"High Syn",0.2,0.157894736842105,0.454545454545455,0.0434782608695652,0.0257731958762887
"297",2274,"Tay","Earn",0.374384236,0.003964492,1,0,29,2,0,15003,16001,21,8,0.724137931,NA,NA,3,0.304761905,0.05636409,308289,739575,293313,716652,27.38828398,3210,590.5,"1",340,0,11,5,1,1,0,1,0,1,1,0,0,1,0.0623711018061371,0.81588785046729,0.583333333333333,0.835714285714286,0.793333333333333,0.203125,0.767441860465116,0.183333333333333,0.0625,0.933,0.421052631578947,0.410714285714286,0.883333333333333,0.142857142857143,0.102040816326531,0.0526315789473685,0.533333333333333,0.0869565217391304,NA,NA,0.588235294117647,0.72,NA,NA,27.38828398,"High Syn",0.0625,0.0625,0.472222222222222,0.318181818181818,0.174398625429553
"460",2782,"Tay","Spey",0.623931624,1e-06,0,0,27,2,0,15003,8005,15,12,0.555555556,NA,NA,NA,0.619047619,0.000836408,308289,739575,294691,819208,80.80590989,3210,1267.8,"7",354,0,7,6,0,0,0,0,0,1,1,0,0,1,0.466440045324269,0.604984423676012,0.82,0.792857142857143,0.766666666666667,0.0781250000000001,0.802325581395349,0.0769230769230769,0.125,0.373134328358209,0.545454545454545,0.232876712328767,0.3,0.657142857142857,0.0638297872340425,0.105263157894737,0.266666666666667,0.0142857142857143,NA,NA,0.285714285714286,0.363636363636364,NA,NA,80.80590989,NA,0.1875,0.1875,0.82,0.12,0.0549828178694158
"462",2784,"Tay","Spey",0.544973545,2.03e-05,1,1,28,2,0,15003,8007,18,10,0.642857143,NA,NA,3,0.699346405,1.18e-05,308289,739575,268761,796425,69.25645676,3210,400.4,"1",360,0,9,6,1,0,0,0,1,0,1,0,0,1,0.46630673865227,0.875389408099688,0.85,0.956428571428571,0.866666666666667,0.203125,0.883720930232558,0.166666666666667,0.4125,0.835820895522388,0.5,0.263157894736842,0.928571428571429,0.612903225806452,0.0681818181818182,0.0526315789473685,0.658333333333333,0.0800000000000001,NA,NA,0.857142857142857,1,NA,NA,69.25645676,"High Syn",0.125,0.125,0.843478260869565,0.0833333333333334,0.338487972508591
