;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
8077;53819;Willow Brook;Nene/Brampton;0.431707317;4.32E-05;1;1;41;2;0;32002;32007;27;14;0.658536585;NA;NA;3;0.487179487;0.000237325;506700;293300;474900;261360;45.08320094;89.6;232.8;1;335;0;12;9;0;1;1;1;1;1;0;1;0;1;0.000156216;0.613733906;0.745762712;0.272727273;0.44;0.205479452;0.678947368;0.333333333;0.406666667;0.222222222;0.285714286;1;0.642857143;0.3125;0.314814815;0.325581395;0.342105263;0.166666667;0.093333333;0.057471264;0.703125;0.618181818;0.742857143;0.635714286;45.08320094;High Syn;0.076923077;0.046875;0.728813559;0.241666667;0.178807947
8079;53821;Willow Brook;Nene;0.5393134;7.44E-08;2;0;43;2;0;32002;32010;34;9;0.790697674;NA;NA;3;0.6114082;4.74E-08;506700;293300;508060;299550;6.397722802;89.6;1530;2;305;0;5;9;9;8;1;0;1;0;0;1;0;1;0.000249922;0.941176471;0.473333333;NA;NA;NA;0.903174603;0.363636364;0.333333333;0.20754717;0.230769231;0.428571429;0.571428571;0.172727273;0.288461538;0.194444444;0.683333333;0.107142857;0.066666667;0.057471264;0.515625;0.554545455;0.292857143;0.285714286;6.397722802;High Syn;0.032258065;0.031746032;0.43125;0.010869565;0.412043623
8080;53822;Willow Brook;Bedford Ouse;0.62;3.57E-06;2;1;25;2;0;32002;33002;18;7;0.72;NA;NA;3;0.529411765;0.001670313;506700;293300;505353;249560;43.77092561;89.6;1460;2;331;0;2;3;8;2;1;0;0;0;0;1;1;2;0.030301194;0.938356164;0.4;0.927272727;0.95;0.273972603;NA;0.44;0.266666667;0.176470588;0.35483871;0.785714286;0.652380952;0.145454545;0.177777778;0.064516129;0.728571429;0.166666667;0.173333333;0.091954023;0.65625;0.681818182;0.392857143;0.371428571;43.77092561;High Syn;0.0625;0.061538462;0.333333333;0.09;0.451327434
8199;54038;Willow Brook;Avon;0.565217391;7.81E-05;1;0;23;2;0;32002;54019;14;9;0.608695652;NA;NA;3;NA;NA;506700;293300;433287;271535;76.59479514;89.6;347;1;277;0;6;8;0;0;0;0;0;0;0;0;0;0;0.407578815;0.740634006;0.727272727;0.692307692;0.777777778;0.328767123;0.809375;0.333333333;0.473333333;0.023809524;0.487179487;NA;0.523809524;0.592592593;0.119047619;0.033333333;0.387096774;0.137931034;0.013157895;0.022988506;0.453125;0.590909091;0.414285714;0.4;76.59479514;High Syn;0.076923077;0.115942029;0.709090909;0.241666667;0.2
8274;54217;Harpers Brook;Nene/Brampton;0.526829268;3.38E-07;0;1;41;2;0;32003;32007;25;16;0.609756098;0.3;0.116047433;3;0.58;1.85E-05;498360;279840;474900;261360;29.87270067;74.3;232.8;2;333;0;16;3;2;0;0;1;0;1;0;1;1;2;0.000124973;0.682403433;0.491525424;0.609090909;0.193548387;0.189655172;0.315789474;0.285714286;0.576190476;0.037037037;0.178571429;NA;0.386666667;0.3125;0.240740741;0.11627907;0.074074074;0;0.220588235;0.073170732;0.573684211;0.595238095;0.672727273;0.575;29.87270067;High Syn;0.046153846;0.03125;0.474576271;0.25;0.21192053
8276;54219;Harpers Brook;Nene;0.392307692;0.000274299;0;0;40;2;0;32003;32010;29;11;0.725;NA;NA;3;0.571428571;4.32E-06;498360;279840;508060;299550;21.9728402;74.3;1530;3;267;0;3;6;6;8;3;1;0;1;0;1;0;1;0.000218682;0.951633987;0.736666667;NA;NA;NA;0.793650794;0.318181818;0.523809524;0.018867925;0.115384615;NA;0.488888889;0.172727273;0.211538462;0.052631579;0.775;0.066666667;0.242857143;0.073170732;0.738709677;0.653061224;0.1;0.166666667;21.9728402;High Syn;0;0.015873016;0.706451613;0.02173913;0.435751541
8436;54588;Ise Brook;Nene/Brampton;0.419047619;0.000232539;0;1;36;2;0;32004;32007;23;13;0.638888889;NA;NA;3;0.422924901;0.004244768;489920;271250;474900;261360;17.98883882;194;232.8;1;338;0;10;11;0;0;0;0;0;0;1;1;0;2;9.37E-05;0.167381974;0.237288136;0.214285714;0.305555556;0.086206897;0.210526316;0.047619048;0.032608696;0.055555556;0;1;0.318181818;0.39375;0;0.069767442;0.444444444;0.033333333;0.093333333;0.046511628;0.457142857;0.333333333;0.4;0.203125;17.98883882;High Syn;0.015384615;0.015625;0.203389831;0.083333333;0.013071895
8438;54590;Ise Brook;Nene;0.535762483;4.28E-07;0;1;39;2;0;32004;32010;29;10;0.743589744;NA;NA;3;0.625615764;3.07E-07;489920;271250;508060;299550;33.62313341;194;1530;3;317;0;3;7;8;7;2;1;0;0;0;0;1;1;0.000187441;0.873202614;0.824444444;NA;NA;NA;0.761904762;0.090909091;0.08;0.037735849;0.071428571;0.5;0.181818182;0.06185567;0.037037037;0.1;0.625;0.034482759;0.066666667;0.046511628;0.114285714;0.222222222;0.393939394;0.36;33.62313341;High Syn;0.03125;0;0.806382979;0.163636364;0.274537696
8439;54591;Ise Brook;Bedford Ouse;0.52;0.000158809;0;1;25;2;0;32004;33002;15;10;0.6;NA;NA;3;0.485714286;0.011409916;489920;271250;505353;249560;26.62692295;194;1460;6;331;0;1;3;5;2;1;0;1;0;0;0;2;2;0.030240591;0.867123288;0.444444444;0.872727273;0.871428571;0;NA;0.2;0.163636364;0;0.096774194;0.25;0.336363636;0.030927835;0.166666667;0.225;0.678571429;0.033333333;0.173333333;0.081395349;0.371428571;0.444444444;0.294117647;0.272727273;26.62692295;High Syn;0;0.030769231;0.489361702;0.090909091;0.32300885
8775;55388;Nene/Brampton;Nene/Kislingbury;0.439516129;0.000290031;1;0;32;2;0;32007;32008;24;8;0.75;NA;NA;3;0.514492754;0.000271385;474900;261360;462750;260700;12.17171551;232.8;107;0;331;0;20;2;1;0;0;1;0;0;0;0;0;0;3.12E-05;0.540772532;0.253164557;0.418181818;0.6;0.017241379;0.473684211;0;0.134831461;0.055555556;0.125;NA;0.166666667;0.25;0.148148148;0.023255814;0.28;0;0.014705882;0;0.173913043;0.023809524;0.742857143;0.607692308;12.17171551;High Syn;0.015151515;0.072463768;0.271604938;0.076923077;0.145695364
8776;55389;Nene/Brampton;Nene;0.516869096;1.21E-06;1;0;39;2;0;32007;32010;26;13;0.666666667;NA;NA;3;0.526153846;8.92E-05;474900;261360;508060;299550;50.59078727;232.8;1530;3;318;0;5;5;5;6;2;1;0;1;0;0;1;1;9.37E-05;0.847712418;0.866101695;NA;NA;NA;0.698412698;0.045454545;0.11;0.018518519;0.071428571;1;0.166666667;0.43125;0.037037037;0.162790698;0.791666667;0.066666667;0.028571429;0;0.387096774;0.142857143;0.636363636;0.49;50.59078727;High Syn;0.046153846;0.015625;0.845762712;0.233333333;0.284020863
8878;55625;Nene/Brampton;Avon;0.533596838;0.000217534;0;0;23;2;0;32007;54019;18;5;0.782608696;NA;NA;3;0.529411765;0.001670313;474900;261360;433287;271535;42.85318191;232.8;347;1;306;0;6;9;1;0;0;1;0;1;0;0;0;0;0.407486255;0.328530259;0.06779661;0.576923077;0.603174603;0.155172414;0.40625;0;0.112359551;0.240740741;0.282051282;NA;0.25;0.407407407;0.222222222;0.302325581;0.596774194;0.033333333;0.105263158;0.035294118;0.457142857;0.066666667;0.56097561;0.392857143;42.85318191;High Syn;0;0.072463768;0.06779661;0;0.025806452
8993;56023;Nene/Kislingbury;Avon;0.466666667;0.000144936;0;0;31;2;0;32008;54002;21;10;0.677419355;NA;NA;3;0.533333333;0.000475104;462750;260700;404007;243741;61.16364689;107;2210;2;333;0;5;7;4;0;1;1;0;1;0;2;0;2;0.407281212;0.95158371;0.746835443;0.96;0.975609756;0.105263158;0.944444444;0.34375;0.3;0.137254902;0.058823529;NA;0.181818182;0.586206897;0.130434783;0.095238095;0.861538462;0.033333333;0.094594595;0.035294118;0.452380952;0.163265306;0.285714286;0.153846154;61.16364689;High Syn;0.015151515;0.028985507;0.740740741;0.261538462;0.568561873
